order_id,customer_id,order_date,product_id,category,price,quantity,payment_method,order_status,city
44,1475,2024-05-22,59,Books,51.91,2,UPI,Delivered,Delhi
45,1699,2024-04-29,8,Electronics,637.2,2,COD,Delivered,Delhi
46,1975,2024-06-18,12,Sports,256.05,4,COD,Delivered,Kolkata
47,1782,2024-06-05,119,Beauty,311.11,3,UPI,Delivered,Hyderabad
48,1189,2024-11-30,159,Sports,773.11,1,Card,Delivered,Chennai
49,1957,2024-12-14,34,Sports,333.95,1,Card,Delivered,Mumbai
50,1686,2024-09-16,82,Sports,249.77,3,UPI,Returned,Kolkata
51,1957,2024-03-22,98,Fashion,177.37,3,Card,Delivered,Chennai
52,1562,2024-08-29,127,Fashion,777.11,1,Card,Delivered,Pune
53,1875,2024-06-20,75,Fashion,138.41,2,COD,Cancelled,Mumbai
54,1566,2024-08-18,105,Fashion,459.22,2,Card,Returned,Kolkata
55,1243,2024-07-26,49,Home,511.86,3,Card,Delivered,Hyderabad
56,1831,2024-03-15,79,Sports,690.52,1,COD,Delivered,Pune
57,1504,2024-09-26,185,Home,636.95,3,COD,Delivered,Chennai
58,1130,2024-04-23,93,Beauty,812.61,2,UPI,Delivered,Delhi
59,1484,2024-03-02,154,Books,54.3,4,UPI,Delivered,Ahmedabad
60,1818,2024-12-27,18,Electronics,303.48,4,Card,Returned,Chennai
61,1646,2024-11-15,96,Home,287.33,2,COD,Cancelled,Pune
62,1020,2024-04-11,38,Fashion,154.56,3,UPI,Delivered,Kolkata
63,1840,2024-12-27,87,Fashion,296.29,4,UPI,Delivered,Kolkata
64,1166,2024-07-28,88,Beauty,316.67,2,UPI,Delivered,Hyderabad
65,1273,2024-09-11,50,Sports,526.67,1,Card,Delivered,Hyderabad
66,1387,2024-01-20,8,Electronics,667.07,3,COD,Delivered,Hyderabad
67,1600,2024-02-27,169,Home,387.29,3,UPI,Cancelled,Mumbai
68,1315,2024-04-21,134,Sports,722.28,4,UPI,Delivered,Ahmedabad
69,1013,2024-11-08,69,Sports,342.8,3,COD,Delivered,Chennai
70,1241,2024-07-14,172,Books,297.38,4,UPI,Delivered,Delhi
71,1776,2024-12-18,121,Books,545.78,4,COD,Delivered,Kolkata
72,1345,2024-04-01,64,Home,33.48,2,UPI,Cancelled,Delhi
73,1564,2024-02-21,157,Home,88.99,4,Card,Delivered,Bangalore
74,1897,2024-10-19,156,Home,423.79,1,Card,Delivered,Hyderabad
75,1339,2024-01-08,139,Home,943.48,3,Card,Cancelled,Pune
76,1091,2024-10-26,121,Fashion,724.3,4,COD,Delivered,Delhi
77,1366,2024-04-07,65,Sports,97.25,3,COD,Delivered,Hyderabad
78,1955,2024-08-23,107,Sports,847.85,4,COD,Delivered,Delhi
79,1454,2024-03-09,147,Fashion,734.98,2,UPI,Delivered,Chennai
80,1427,2024-02-14,137,Sports,614.84,1,UPI,Delivered,Bangalore
81,1508,2024-05-16,155,Home,822.09,3,UPI,Delivered,Hyderabad
82,1775,2024-08-21,162,Electronics,410.07,2,COD,Delivered,Mumbai
83,1942,2024-02-01,172,Books,229.29,3,Card,Delivered,Mumbai
84,1034,2024-10-15,196,Books,516.9,2,COD,Returned,Ahmedabad
85,1205,2024-05-05,100,Sports,553.35,1,COD,Delivered,Delhi
86,1080,2024-03-07,82,Electronics,542.94,4,Card,Cancelled,Kolkata
87,1931,2024-01-30,143,Books,569.42,2,COD,Delivered,Chennai
88,1561,2024-04-23,51,Electronics,949.22,3,COD,Delivered,Pune
89,1871,2024-07-22,141,Fashion,903.22,3,COD,Delivered,Ahmedabad
90,1387,2024-01-29,83,Beauty,876.96,2,Card,Delivered,Ahmedabad
91,1001,2024-05-10,177,Sports,803.4,1,COD,Delivered,Kolkata
92,1389,2024-07-03,198,Fashion,943.99,1,UPI,Delivered,Hyderabad
93,1565,2024-09-09,112,Fashion,107.51,4,Card,Delivered,Bangalore
94,1105,2024-10-12,56,Electronics,272.47,4,UPI,Returned,Ahmedabad
95,1771,2024-03-02,179,Sports,500.11,3,UPI,Delivered,Ahmedabad
96,1821,2024-01-03,165,Fashion,848.07,3,COD,Delivered,Chennai
97,1476,2024-03-08,145,Home,510.11,4,Card,Delivered,Delhi
98,1702,2024-01-25,186,Fashion,750.55,4,UPI,Delivered,Chennai
99,1401,2024-06-27,157,Home,147.57,4,UPI,Returned,Bangalore
100,1729,2024-05-20,161,Beauty,259.89,2,COD,Delivered,Chennai
101,1555,2024-08-18,60,Home,734.46,4,COD,Delivered,Hyderabad
102,1161,2024-10-26,120,Home,173.09,2,UPI,Delivered,Ahmedabad
103,1201,2024-06-11,183,Electronics,357.84,2,COD,Delivered,Delhi
104,1957,2024-11-06,138,Fashion,272.22,4,UPI,Delivered,Bangalore
105,1995,2024-05-09,175,Beauty,356.36,1,Card,Delivered,Ahmedabad
106,1269,2024-09-02,23,Fashion,711.24,1,Card,Delivered,Delhi
107,1862,2024-10-23,149,Home,374.17,3,COD,Delivered,Pune
108,1815,2024-06-20,13,Books,559.71,4,COD,Delivered,Ahmedabad
109,1270,2024-03-04,101,Home,108.93,3,UPI,Delivered,Hyderabad
110,1455,2024-01-31,161,Fashion,806.97,4,Card,Returned,Bangalore
111,1461,2024-02-16,24,Beauty,376.19,3,UPI,Cancelled,Pune
112,1726,2024-05-09,108,Books,652.05,2,Card,Cancelled,Pune
113,1251,2024-12-17,11,Beauty,728.14,4,Card,Returned,Pune
114,1701,2024-11-28,17,Electronics,217.56,1,UPI,Delivered,Bangalore
115,1295,2024-04-19,196,Home,885.83,4,UPI,Delivered,Delhi
116,1724,2024-03-09,175,Home,620.06,3,UPI,Delivered,Chennai
117,1719,2024-02-27,25,Electronics,434.44,3,Card,Cancelled,Chennai
118,1748,2024-04-15,94,Fashion,190.51,3,Card,Delivered,Pune
119,1337,2024-10-26,21,Home,942.88,3,UPI,Delivered,Mumbai
120,1878,2024-11-25,84,Fashion,757.52,3,COD,Cancelled,Mumbai
121,1052,2024-09-12,140,Beauty,215.94,3,UPI,Delivered,Bangalore
122,1791,2024-11-07,37,Books,344.33,1,Card,Delivered,Delhi
123,1921,2024-06-19,42,Books,811.58,3,Card,Delivered,Bangalore
124,1216,2024-06-10,145,Books,698.72,1,UPI,Delivered,Delhi
125,1763,2024-10-12,101,Sports,768.13,4,UPI,Delivered,Hyderabad
126,1187,2024-03-11,48,Electronics,446.79,2,COD,Delivered,Mumbai
127,1379,2024-09-11,103,Books,719.31,1,Card,Delivered,Bangalore
128,1492,2024-02-24,28,Home,392.63,4,UPI,Delivered,Kolkata
129,1040,2024-11-18,41,Electronics,219.15,2,UPI,Delivered,Ahmedabad
130,1156,2024-01-03,99,Beauty,636.35,1,COD,Delivered,Hyderabad
131,1014,2024-01-26,47,Beauty,976.25,1,UPI,Returned,Chennai
132,1812,2024-11-08,146,Beauty,317.49,4,COD,Delivered,Mumbai
133,1064,2024-05-05,105,Beauty,466.36,3,UPI,Returned,Delhi
134,1856,2024-02-22,124,Sports,677.26,1,Card,Delivered,Pune
135,1838,2024-07-16,199,Fashion,546.09,1,UPI,Delivered,Ahmedabad
136,1520,2024-10-25,13,Fashion,844.99,4,COD,Delivered,Chennai
137,1343,2024-07-06,141,Books,764.13,3,Card,Delivered,Chennai
138,1128,2024-07-04,100,Sports,67.71,2,Card,Delivered,Hyderabad
139,1647,2024-10-31,31,Fashion,998.44,3,UPI,Delivered,Ahmedabad
140,1471,2024-10-24,130,Beauty,754.88,3,UPI,Delivered,Kolkata
141,1062,2024-07-22,16,Fashion,865.26,4,UPI,Returned,Ahmedabad
142,1138,2024-01-11,137,Electronics,654.69,3,UPI,Delivered,Bangalore
143,1498,2024-12-24,73,Books,857.72,4,COD,Returned,Pune
144,1592,2024-12-19,166,Fashion,121.26,2,Card,Delivered,Ahmedabad
145,1391,2024-05-25,54,Electronics,354.26,1,UPI,Delivered,Ahmedabad
146,1674,2024-03-25,184,Home,877.66,1,COD,Delivered,Ahmedabad
147,1418,2024-04-09,100,Electronics,209.64,4,COD,Delivered,Bangalore
148,1288,2024-04-13,109,Electronics,87.46,4,Card,Delivered,Hyderabad
149,1378,2024-02-15,87,Beauty,790.24,3,Card,Delivered,Ahmedabad
150,1772,2024-02-13,173,Beauty,837.13,3,COD,Delivered,Chennai
151,1489,2024-10-04,162,Books,171.03,1,Card,Delivered,Mumbai
152,1230,2024-06-29,137,Beauty,855.8,1,Card,Delivered,Chennai
153,1040,2024-07-05,8,Electronics,689.9,1,Card,Delivered,Hyderabad
154,1027,2024-04-23,7,Sports,524.88,4,UPI,Returned,Chennai
155,1134,2024-09-11,36,Beauty,831.95,2,COD,Cancelled,Pune
156,1200,2024-01-30,18,Beauty,425.06,2,Card,Delivered,Chennai
157,1839,2024-09-20,3,Electronics,202.05,4,Card,Delivered,Ahmedabad
158,1779,2024-04-07,28,Home,292.0,3,UPI,Delivered,Chennai
159,1929,2024-11-08,70,Home,510.11,2,UPI,Delivered,Chennai
160,1032,2024-11-24,172,Fashion,536.02,3,UPI,Delivered,Mumbai
161,1047,2024-04-24,149,Books,807.53,1,UPI,Delivered,Delhi
162,1502,2024-10-02,28,Home,793.44,1,Card,Delivered,Delhi
163,1406,2024-10-07,54,Beauty,585.55,3,UPI,Delivered,Bangalore
164,1573,2024-10-01,182,Sports,782.98,1,UPI,Returned,Ahmedabad
165,1727,2024-09-17,65,Fashion,199.86,4,Card,Delivered,Delhi
166,1804,2024-11-26,100,Books,59.56,3,Card,Delivered,Delhi
167,1098,2024-07-25,21,Sports,874.9,3,UPI,Delivered,Delhi
168,1683,2024-11-23,13,Sports,84.8,3,UPI,Delivered,Ahmedabad
169,1871,2024-07-29,57,Beauty,254.22,2,COD,Delivered,Kolkata
170,1725,2024-08-02,49,Electronics,698.37,3,UPI,Delivered,Ahmedabad
171,1986,2024-02-09,118,Electronics,415.35,3,COD,Delivered,Chennai
172,1546,2024-01-26,54,Electronics,877.55,3,UPI,Delivered,Kolkata
173,1960,2024-01-27,138,Home,305.0,2,Card,Delivered,Chennai
174,1738,2024-07-08,53,Electronics,21.75,1,UPI,Delivered,Pune
175,1612,2024-03-23,44,Books,307.65,2,COD,Delivered,Ahmedabad
176,1942,2024-06-18,47,Beauty,582.29,4,UPI,Delivered,Mumbai
177,1461,2024-06-15,53,Home,382.18,3,UPI,Delivered,Kolkata
178,1642,2024-07-06,74,Books,539.52,4,UPI,Delivered,Chennai
179,1768,2024-06-17,46,Electronics,877.83,2,COD,Delivered,Chennai
180,1004,2024-10-15,13,Books,913.36,1,COD,Delivered,Delhi
181,1217,2024-08-16,165,Sports,273.31,1,UPI,Delivered,Mumbai
182,1502,2024-04-06,102,Beauty,467.52,3,UPI,Delivered,Mumbai
183,1766,2024-01-16,24,Beauty,553.65,1,Card,Delivered,Delhi
184,1397,2024-10-05,2,Books,949.62,2,COD,Delivered,Kolkata
185,1870,2024-05-14,81,Fashion,998.63,2,Card,Delivered,Delhi
186,1794,2024-01-26,100,Beauty,243.05,1,COD,Delivered,Mumbai
187,1392,2024-12-17,142,Sports,729.71,3,UPI,Delivered,Hyderabad
188,1206,2024-01-12,138,Beauty,384.25,3,UPI,Delivered,Delhi
189,1014,2024-03-12,163,Fashion,18.03,2,UPI,Delivered,Delhi
190,1857,2024-05-12,153,Beauty,19.16,1,Card,Delivered,Mumbai
191,1553,2024-04-15,131,Beauty,465.96,2,UPI,Returned,Ahmedabad
192,1891,2024-08-07,111,Fashion,493.45,2,UPI,Delivered,Kolkata
193,1460,2024-06-25,102,Beauty,32.34,4,UPI,Delivered,Hyderabad
194,1690,2024-10-08,17,Books,690.06,2,Card,Delivered,Pune
195,1574,2024-05-12,12,Home,301.06,3,UPI,Delivered,Hyderabad
196,1863,2024-01-22,182,Books,564.29,1,UPI,Delivered,Bangalore
197,1742,2024-09-25,116,Beauty,307.91,1,COD,Delivered,Ahmedabad
198,1240,2024-06-09,24,Electronics,175.46,4,UPI,Delivered,Hyderabad
199,1563,2024-04-16,29,Electronics,413.1,4,UPI,Cancelled,Ahmedabad
200,1095,2024-10-05,171,Home,239.95,3,Card,Delivered,Delhi
201,1899,2024-12-18,153,Beauty,539.45,4,COD,Delivered,Chennai
202,1733,2024-08-22,122,Sports,206.84,2,Card,Delivered,Mumbai
203,1484,2024-01-18,188,Beauty,513.32,2,UPI,Delivered,Ahmedabad
204,1406,2024-08-29,90,Electronics,165.8,3,COD,Returned,Pune
205,1230,2024-04-26,65,Fashion,674.26,1,Card,Delivered,Delhi
206,1748,2024-10-12,84,Home,756.4,3,UPI,Delivered,Pune
207,1654,2024-10-08,119,Fashion,119.29,4,Card,Delivered,Mumbai
208,1170,2024-05-23,156,Sports,473.12,1,Card,Delivered,Pune
209,1540,2024-07-23,16,Beauty,80.16,1,Card,Delivered,Hyderabad
210,1035,2024-02-08,175,Sports,602.2,1,COD,Delivered,Mumbai
211,1524,2024-06-02,104,Fashion,271.76,4,Card,Delivered,Delhi
212,1159,2024-06-24,92,Beauty,532.35,2,COD,Delivered,Ahmedabad
213,1838,2024-08-28,186,Books,522.29,2,Card,Delivered,Chennai
214,1698,2024-05-13,27,Books,925.11,4,UPI,Delivered,Delhi
215,1242,2024-02-15,181,Sports,553.59,4,Card,Delivered,Kolkata
216,1085,2024-02-19,170,Books,587.17,3,UPI,Cancelled,Ahmedabad
217,1795,2024-06-14,187,Books,407.64,3,UPI,Returned,Bangalore
218,1577,2024-04-15,175,Electronics,949.59,2,Card,Delivered,Mumbai
219,1681,2024-08-03,162,Books,779.41,4,Card,Delivered,Delhi
220,1556,2024-05-25,165,Electronics,292.55,3,UPI,Delivered,Hyderabad
221,1573,2024-03-12,134,Home,845.77,4,UPI,Cancelled,Hyderabad
222,1952,2024-11-25,135,Electronics,438.07,4,UPI,Cancelled,Ahmedabad
223,1645,2024-09-29,153,Electronics,830.38,2,COD,Delivered,Kolkata
224,1795,2024-09-03,33,Fashion,824.66,2,UPI,Delivered,Pune
225,1027,2024-07-04,55,Electronics,196.98,4,Card,Delivered,Delhi
226,1619,2024-03-10,186,Electronics,704.13,1,Card,Cancelled,Pune
227,1555,2024-05-29,7,Fashion,297.74,1,UPI,Delivered,Bangalore
228,1339,2024-09-02,57,Electronics,304.52,4,UPI,Delivered,Mumbai
229,1797,2024-09-18,126,Books,303.38,2,UPI,Returned,Bangalore
230,1957,2024-01-26,12,Electronics,728.31,1,COD,Delivered,Chennai
231,1330,2024-05-19,16,Home,237.53,2,Card,Delivered,Kolkata
232,1639,2024-04-08,43,Electronics,10.9,1,Card,Delivered,Pune
233,1505,2024-10-04,117,Electronics,718.08,4,Card,Delivered,Delhi
234,1347,2024-02-20,135,Home,179.47,3,UPI,Delivered,Pune
235,1472,2024-05-30,111,Fashion,113.44,3,UPI,Delivered,Bangalore
236,1230,2024-04-13,51,Books,245.14,2,COD,Delivered,Ahmedabad
237,1189,2024-03-29,160,Electronics,386.1,2,COD,Delivered,Kolkata
238,1224,2024-05-20,75,Books,481.15,1,Card,Delivered,Chennai
239,1384,2024-07-31,8,Sports,54.12,4,Card,Returned,Bangalore
240,1376,2024-08-20,200,Books,970.87,1,UPI,Delivered,Chennai
241,1282,2024-07-01,45,Fashion,718.9,4,UPI,Delivered,Kolkata
242,1957,2024-09-07,59,Fashion,329.96,4,Card,Returned,Hyderabad
243,1632,2024-01-09,132,Electronics,325.51,2,COD,Delivered,Hyderabad
244,1627,2024-03-19,104,Home,454.06,3,UPI,Delivered,Delhi
245,1972,2024-02-21,195,Fashion,629.98,3,UPI,Delivered,Ahmedabad
246,1744,2024-09-25,157,Home,154.91,2,UPI,Delivered,Bangalore
247,1258,2024-08-13,157,Sports,197.04,3,UPI,Delivered,Hyderabad
248,1358,2024-02-20,98,Home,860.84,2,Card,Delivered,Pune
249,1709,2024-07-04,156,Beauty,263.69,1,COD,Delivered,Kolkata
250,1455,2024-02-03,79,Home,386.39,4,COD,Delivered,Mumbai
251,1410,2024-10-17,124,Fashion,872.56,3,COD,Delivered,Kolkata
252,1648,2024-08-17,172,Home,666.52,3,Card,Delivered,Pune
253,1317,2024-05-10,4,Home,348.29,1,UPI,Delivered,Hyderabad
254,1676,2024-04-29,90,Beauty,686.86,1,COD,Delivered,Hyderabad
255,1224,2024-11-21,104,Beauty,29.49,3,UPI,Delivered,Bangalore
256,1818,2024-09-03,137,Electronics,738.29,3,COD,Delivered,Chennai
257,1233,2024-07-10,119,Fashion,492.15,2,Card,Delivered,Mumbai
258,1683,2024-11-18,133,Electronics,815.05,2,UPI,Cancelled,Mumbai
259,1663,2024-07-28,56,Beauty,955.09,3,Card,Delivered,Chennai
260,1974,2024-04-12,96,Home,926.53,2,UPI,Delivered,Bangalore
261,1826,2024-11-24,178,Beauty,910.17,1,UPI,Delivered,Hyderabad
262,1373,2024-05-12,75,Sports,517.05,4,UPI,Delivered,Chennai
263,1671,2024-11-18,143,Home,366.54,2,COD,Delivered,Kolkata
264,1607,2024-05-18,32,Electronics,470.38,4,Card,Delivered,Kolkata
265,1471,2024-04-30,28,Home,693.0,2,UPI,Returned,Kolkata
266,1232,2024-04-03,22,Sports,885.16,3,UPI,Delivered,Mumbai
267,1691,2024-05-08,17,Beauty,214.92,2,Card,Cancelled,Mumbai
268,1112,2024-03-31,59,Fashion,919.01,4,UPI,Delivered,Kolkata
269,1829,2024-04-01,90,Books,817.03,4,Card,Delivered,Kolkata
270,1496,2024-03-03,199,Fashion,979.07,3,Card,Delivered,Kolkata
271,1441,2024-01-29,106,Fashion,881.45,4,UPI,Delivered,Hyderabad
272,1563,2024-07-28,185,Beauty,287.14,3,UPI,Delivered,Hyderabad
273,1267,2024-01-12,26,Fashion,114.9,3,Card,Delivered,Delhi
274,1509,2024-11-28,25,Sports,121.12,4,UPI,Delivered,Pune
275,1806,2024-10-23,138,Beauty,298.31,1,UPI,Delivered,Chennai
276,1385,2024-05-09,45,Fashion,618.04,4,UPI,Delivered,Hyderabad
277,1386,2024-10-19,83,Books,806.28,4,UPI,Returned,Delhi
278,1112,2024-06-21,11,Electronics,900.26,2,COD,Delivered,Bangalore
279,1612,2024-07-26,181,Beauty,627.52,4,Card,Delivered,Kolkata
280,1624,2024-01-24,200,Beauty,15.57,2,Card,Delivered,Mumbai
281,1951,2024-04-08,104,Home,194.45,2,UPI,Returned,Chennai
282,1080,2024-12-21,68,Fashion,108.73,4,UPI,Cancelled,Pune
283,1698,2024-05-18,95,Electronics,369.69,3,UPI,Delivered,Bangalore
284,1112,2024-11-09,156,Books,506.34,1,COD,Returned,Chennai
285,1001,2024-06-22,65,Sports,52.96,4,UPI,Delivered,Chennai
286,1641,2024-01-29,49,Beauty,354.99,4,Card,Delivered,Hyderabad
287,1219,2024-05-22,175,Sports,187.39,3,UPI,Delivered,Delhi
288,1565,2024-11-11,52,Sports,650.6,2,COD,Delivered,Chennai
289,1854,2024-12-16,102,Sports,469.63,3,COD,Delivered,Pune
290,1996,2024-02-11,182,Home,500.36,3,UPI,Delivered,Bangalore
291,1735,2024-10-25,188,Sports,433.41,2,Card,Delivered,Pune
292,1224,2024-07-26,57,Fashion,956.46,4,UPI,Delivered,Chennai
293,1384,2024-11-25,47,Fashion,222.59,3,Card,Delivered,Ahmedabad
294,1402,2024-07-10,159,Electronics,521.5,3,UPI,Delivered,Pune
295,1637,2024-06-08,174,Electronics,738.66,4,UPI,Delivered,Pune
296,1129,2024-03-04,26,Books,561.28,4,UPI,Delivered,Kolkata
297,1052,2024-08-30,114,Sports,929.73,1,COD,Delivered,Ahmedabad
298,1683,2024-09-14,5,Sports,384.19,3,COD,Returned,Delhi
299,1729,2024-05-31,84,Home,469.04,1,UPI,Delivered,Ahmedabad
300,1671,2024-08-02,52,Sports,97.64,2,Card,Delivered,Mumbai
301,1709,2024-11-17,105,Sports,612.91,4,UPI,Delivered,Ahmedabad
302,1415,2024-06-14,54,Sports,295.33,4,UPI,Delivered,Chennai
303,1246,2024-01-31,161,Beauty,168.71,1,COD,Delivered,Bangalore
304,1835,2024-08-19,178,Beauty,549.09,3,UPI,Delivered,Kolkata
305,1438,2024-10-08,166,Home,536.99,2,Card,Delivered,Kolkata
306,1202,2024-01-29,155,Home,85.11,3,UPI,Delivered,Mumbai
307,1183,2024-07-13,15,Fashion,701.23,3,UPI,Delivered,Pune
308,1122,2024-11-29,61,Home,627.53,1,UPI,Delivered,Mumbai
309,1400,2024-09-12,122,Books,197.13,3,COD,Delivered,Hyderabad
310,1766,2024-10-07,21,Fashion,474.74,1,Card,Delivered,Hyderabad
311,1293,2024-10-30,46,Sports,723.12,4,UPI,Delivered,Chennai
312,1279,2024-11-16,197,Home,534.14,4,COD,Delivered,Kolkata
313,1836,2024-11-18,134,Books,401.53,4,COD,Delivered,Bangalore
314,1883,2024-12-11,38,Home,329.12,2,UPI,Delivered,Ahmedabad
315,1609,2024-10-20,62,Home,614.29,2,UPI,Delivered,Hyderabad
316,1197,2024-03-27,86,Fashion,939.72,3,UPI,Delivered,Pune
317,1981,2024-05-28,190,Fashion,675.03,1,UPI,Delivered,Delhi
318,1906,2024-09-05,78,Electronics,84.0,3,Card,Delivered,Delhi
319,1510,2024-11-16,46,Fashion,466.08,4,UPI,Delivered,Ahmedabad
320,1751,2024-10-09,141,Fashion,891.92,3,UPI,Delivered,Pune
321,1143,2024-12-27,3,Beauty,103.52,3,UPI,Delivered,Ahmedabad
322,1608,2024-07-16,6,Home,988.99,3,UPI,Delivered,Ahmedabad
323,1200,2024-02-13,93,Fashion,949.58,4,Card,Delivered,Mumbai
324,1123,2024-12-21,8,Home,87.49,1,Card,Returned,Pune
325,1186,2024-01-28,172,Home,934.08,3,UPI,Delivered,Mumbai
326,1325,2024-01-17,108,Beauty,369.5,4,UPI,Delivered,Mumbai
327,1463,2024-05-06,161,Home,846.26,2,UPI,Delivered,Delhi
328,1348,2024-06-16,75,Books,424.2,1,COD,Delivered,Ahmedabad
329,1770,2024-08-31,77,Fashion,446.45,4,UPI,Delivered,Ahmedabad
330,1659,2024-03-16,50,Home,637.9,3,UPI,Cancelled,Hyderabad
331,1763,2024-08-18,11,Electronics,776.73,4,UPI,Delivered,Pune
332,1954,2024-07-22,95,Electronics,43.45,1,UPI,Delivered,Hyderabad
333,1931,2024-09-04,156,Beauty,597.22,3,UPI,Delivered,Chennai
334,1402,2024-10-28,70,Books,194.87,2,Card,Delivered,Bangalore
335,1345,2024-08-01,169,Fashion,352.49,2,COD,Delivered,Delhi
336,1962,2024-08-02,16,Beauty,354.49,2,UPI,Returned,Kolkata
337,1510,2024-06-06,68,Electronics,474.37,4,Card,Delivered,Mumbai
338,1146,2024-03-09,99,Books,340.8,1,Card,Delivered,Bangalore
339,1147,2024-03-25,48,Fashion,116.29,2,UPI,Delivered,Mumbai
340,1863,2024-09-23,184,Home,154.17,3,UPI,Delivered,Bangalore
341,1710,2024-03-09,64,Fashion,43.1,3,UPI,Delivered,Bangalore
342,1819,2024-04-08,187,Sports,475.55,3,COD,Delivered,Hyderabad
343,1488,2024-12-12,90,Fashion,954.9,4,COD,Returned,Kolkata
344,1928,2024-08-03,190,Home,124.52,1,UPI,Delivered,Chennai
345,1935,2024-06-09,76,Sports,946.8,1,UPI,Delivered,Chennai
346,1639,2024-04-03,139,Books,736.03,2,Card,Returned,Mumbai
347,1550,2024-06-22,101,Beauty,641.12,1,UPI,Delivered,Delhi
348,1337,2024-06-13,89,Books,648.82,3,Card,Delivered,Chennai
349,1871,2024-04-24,18,Fashion,828.46,3,UPI,Returned,Delhi
350,1640,2024-08-07,19,Beauty,115.85,4,COD,Delivered,Mumbai
351,1778,2024-01-31,55,Fashion,509.71,3,Card,Delivered,Delhi
352,1987,2024-01-11,102,Electronics,700.12,1,UPI,Delivered,Bangalore
353,1952,2024-12-08,118,Electronics,590.95,3,Card,Delivered,Bangalore
354,1472,2024-05-09,154,Home,834.45,2,UPI,Delivered,Mumbai
355,1945,2024-04-14,134,Books,81.55,4,UPI,Delivered,Delhi
356,1150,2024-01-27,4,Electronics,693.79,4,Card,Delivered,Ahmedabad
357,1414,2024-08-14,108,Sports,538.69,1,UPI,Delivered,Ahmedabad
358,1989,2024-01-02,115,Sports,385.37,3,Card,Delivered,Ahmedabad
359,1297,2024-12-24,29,Fashion,346.87,3,UPI,Delivered,Kolkata
360,1610,2024-04-10,59,Beauty,624.62,1,Card,Delivered,Kolkata
361,1262,2024-01-21,125,Sports,892.09,1,UPI,Delivered,Delhi
