Booking_ID,Hotel_Type,Booking_Date,Checkin_Date,Checkout_Date,Lead_Time,Country,Adults,Children,Room_Type,Average_Daily_Rate,Booking_Channel,Cancellation_Status,year,month,month_name,month_year,Stay_Duration,Revenue,is_canceled
BKG100024,Resort Hotel,2022-03-24,2022-05-10,2022-05-12,47,Brazil,1,0.0,Standard,177.09,Online Travel Agent,Check-Out,2022,3,Mar,2022-03,2,354.18,0
BKG100025,City Hotel,2023-08-21,2024-01-12,2024-01-21,144,Germany,3,0.0,Suite,119.24,Offline Agent,Check-Out,2023,8,Aug,2023-08,9,1073.1599999999999,0
BKG100026,Resort Hotel,2023-10-23,2024-01-07,2024-01-15,76,USA,3,0.0,Deluxe,62.7,Corporate,Check-Out,2023,10,Oct,2023-10,8,501.6,0
BKG100027,City Hotel,2022-12-24,2023-01-10,2023-01-14,17,Australia,3,0.0,Standard,105.75,Corporate,Canceled,2022,12,Dec,2022-12,4,423.0,1
BKG100028,Resort Hotel,2022-04-17,2022-05-21,2022-05-26,34,France,1,0.0,Family,275.3,Direct,Canceled,2022,4,Apr,2022-04,5,1376.5,1
BKG100029,Resort Hotel,2022-07-28,2023-01-19,2023-01-24,175,USA,4,0.0,Family,322.55,Corporate,Check-Out,2022,7,Jul,2022-07,5,1612.75,0
BKG100030,City Hotel,2022-12-08,2023-01-10,2023-01-15,33,Singapore,2,1.0,Standard,219.99,Online Travel Agent,Check-Out,2022,12,Dec,2022-12,5,1099.95,0
BKG100031,Resort Hotel,2023-12-09,2024-01-16,2024-01-25,38,Australia,1,0.0,Deluxe,228.93,Online Travel Agent,Check-Out,2023,12,Dec,2023-12,9,2060.37,0
BKG100032,City Hotel,2024-03-26,2024-04-05,2024-04-11,10,Singapore,2,0.0,Family,253.41,Direct,Canceled,2024,3,Mar,2024-03,6,1520.46,1
BKG100033,City Hotel,2022-08-31,2022-10-11,2022-10-14,41,Australia,4,0.0,Deluxe,112.01,Corporate,Check-Out,2022,8,Aug,2022-08,3,336.03000000000003,0
BKG100034,City Hotel,2023-12-20,2024-01-16,2024-01-23,27,UAE,1,1.0,Suite,124.51,Direct,Check-Out,2023,12,Dec,2023-12,7,871.57,0
BKG100035,City Hotel,2023-11-07,2023-12-26,2024-01-02,49,UAE,3,0.0,Family,310.66,Corporate,Canceled,2023,11,Nov,2023-11,7,2174.6200000000003,1
BKG100036,City Hotel,2022-04-29,2022-07-04,2022-07-07,66,UAE,3,0.0,Suite,91.44,Online Travel Agent,Check-Out,2022,4,Apr,2022-04,3,274.32,0
BKG100037,City Hotel,2023-06-08,2023-07-07,2023-07-14,29,India,2,0.0,Deluxe,72.87,Corporate,Check-Out,2023,6,Jun,2023-06,7,510.09000000000003,0
BKG100038,City Hotel,2023-11-12,2024-02-04,2024-02-14,84,Singapore,3,0.0,Suite,268.73,Offline Agent,Check-Out,2023,11,Nov,2023-11,10,2687.3,0
BKG100039,City Hotel,2023-12-15,2024-02-28,2024-03-08,75,UK,2,0.0,Suite,181.93,Offline Agent,Check-Out,2023,12,Dec,2023-12,9,1637.3700000000001,0
BKG100040,City Hotel,2022-01-01,2022-03-19,2022-03-24,77,Canada,2,1.0,Family,287.87,Offline Agent,Check-Out,2022,1,Jan,2022-01,5,1439.35,0
BKG100041,City Hotel,2023-06-08,2023-10-07,2023-10-10,121,USA,1,0.0,Deluxe,209.48,Corporate,Check-Out,2023,6,Jun,2023-06,3,628.4399999999999,0
BKG100042,Resort Hotel,2022-07-23,2022-08-29,2022-08-30,37,Canada,1,0.0,Family,345.34,Direct,Canceled,2022,7,Jul,2022-07,1,345.34,1
BKG100043,Resort Hotel,2023-01-29,2023-06-04,2023-06-11,126,Australia,2,0.0,Family,250.26,Direct,Check-Out,2023,1,Jan,2023-01,7,1751.82,0
BKG100044,Resort Hotel,2023-12-14,2024-04-24,2024-05-02,132,Canada,1,2.0,Deluxe,132.27,Offline Agent,Check-Out,2023,12,Dec,2023-12,8,1058.16,0
BKG100045,City Hotel,2023-07-27,2023-12-26,2024-01-01,152,Singapore,4,2.0,Family,296.35,Direct,Canceled,2023,7,Jul,2023-07,6,1778.1000000000001,1
BKG100046,City Hotel,2023-05-02,2023-08-25,2023-08-30,115,Germany,2,0.0,Suite,282.09,Offline Agent,Check-Out,2023,5,May,2023-05,5,1410.4499999999998,0
BKG100047,Resort Hotel,2022-10-20,2022-12-19,2022-12-24,60,UK,3,0.0,Deluxe,318.98,Direct,Check-Out,2022,10,Oct,2022-10,5,1594.9,0
BKG100048,City Hotel,2022-06-06,2022-12-03,2022-12-07,180,Australia,1,1.0,Standard,178.2,Direct,Canceled,2022,6,Jun,2022-06,4,712.8,1
BKG100049,City Hotel,2023-02-03,2023-07-02,2023-07-03,149,France,4,1.0,Family,61.71,Offline Agent,Check-Out,2023,2,Feb,2023-02,1,61.71,0
BKG100050,City Hotel,2024-01-23,2024-06-10,2024-06-20,139,Canada,2,1.0,Standard,123.63,Offline Agent,Check-Out,2024,1,Jan,2024-01,10,1236.3,0
BKG100051,Resort Hotel,2023-11-27,2024-03-09,2024-03-12,103,Australia,4,0.0,Standard,344.41,Online Travel Agent,Check-Out,2023,11,Nov,2023-11,3,1033.23,0
BKG100052,Resort Hotel,2022-05-19,2022-09-14,2022-09-17,118,Canada,1,0.0,Suite,169.94,Corporate,Canceled,2022,5,May,2022-05,3,509.82,1
BKG100053,Resort Hotel,2023-01-24,2023-04-05,2023-04-12,71,UAE,3,0.0,Deluxe,196.39,Online Travel Agent,Canceled,2023,1,Jan,2023-01,7,1374.73,1
BKG100054,Resort Hotel,2023-10-30,2023-11-09,2023-11-10,10,Germany,2,0.0,Family,303.38,Offline Agent,Check-Out,2023,10,Oct,2023-10,1,303.38,0
BKG100055,Resort Hotel,2023-08-01,2023-09-25,2023-10-03,55,UK,3,0.0,Suite,108.66,Online Travel Agent,Check-Out,2023,8,Aug,2023-08,8,869.28,0
BKG100056,Resort Hotel,2022-11-16,2023-04-12,2023-04-19,147,USA,4,0.0,Suite,82.04,Online Travel Agent,Canceled,2022,11,Nov,2022-11,7,574.2800000000001,1
BKG100057,City Hotel,2023-08-03,2023-08-13,2023-08-19,10,India,4,0.0,Family,80.0,Offline Agent,Check-Out,2023,8,Aug,2023-08,6,480.0,0
BKG100058,City Hotel,2023-01-06,2023-06-17,2023-06-25,162,Brazil,2,1.0,Family,111.08,Offline Agent,Check-Out,2023,1,Jan,2023-01,8,888.64,0
BKG100059,Resort Hotel,2024-01-19,2024-06-18,2024-06-23,151,France,3,0.0,Family,300.91,Direct,Canceled,2024,1,Jan,2024-01,5,1504.5500000000002,1
BKG100060,City Hotel,2023-08-07,2024-01-10,2024-01-17,156,UK,3,0.0,Family,203.35,Direct,Check-Out,2023,8,Aug,2023-08,7,1423.45,0
BKG100061,Resort Hotel,2022-09-22,2022-12-18,2022-12-23,87,USA,3,2.0,Deluxe,62.94,Offline Agent,Check-Out,2022,9,Sep,2022-09,5,314.7,0
BKG100062,Resort Hotel,2024-02-16,2024-04-17,2024-04-25,61,Australia,4,1.0,Deluxe,289.95,Offline Agent,Check-Out,2024,2,Feb,2024-02,8,2319.6,0
BKG100063,City Hotel,2022-11-10,2023-04-28,2023-05-08,169,Australia,3,1.0,Suite,220.51,Online Travel Agent,Canceled,2022,11,Nov,2022-11,10,2205.1,1
BKG100064,City Hotel,2022-10-05,2022-12-22,2022-12-27,78,USA,2,0.0,Deluxe,269.17,Direct,Check-Out,2022,10,Oct,2022-10,5,1345.8500000000001,0
BKG100065,City Hotel,2023-05-11,2023-07-20,2023-07-30,70,Germany,3,0.0,Suite,301.46,Direct,Check-Out,2023,5,May,2023-05,10,3014.6,0
BKG100066,City Hotel,2023-12-27,2024-05-11,2024-05-14,136,UK,3,0.0,Family,342.55,Online Travel Agent,Canceled,2023,12,Dec,2023-12,3,1027.65,1
BKG100067,Resort Hotel,2023-08-11,2023-10-22,2023-10-30,72,France,4,1.0,Family,158.8,Online Travel Agent,Canceled,2023,8,Aug,2023-08,8,1270.4,1
BKG100068,City Hotel,2023-02-15,2023-06-20,2023-06-22,125,USA,1,0.0,Deluxe,103.27,Online Travel Agent,Check-Out,2023,2,Feb,2023-02,2,206.54,0
BKG100069,City Hotel,2023-03-03,2023-08-05,2023-08-15,155,Australia,2,2.0,Family,170.31,Online Travel Agent,Check-Out,2023,3,Mar,2023-03,10,1703.1,0
BKG100070,Resort Hotel,2022-03-03,2022-08-06,2022-08-08,156,UK,2,0.0,Deluxe,136.75,Direct,Check-Out,2022,3,Mar,2022-03,2,273.5,0
BKG100071,Resort Hotel,2022-06-10,2022-06-10,2022-06-17,0,Germany,4,2.0,Suite,196.27,Corporate,Canceled,2022,6,Jun,2022-06,7,1373.89,1
BKG100072,Resort Hotel,2023-04-10,2023-04-28,2023-05-02,18,Australia,3,2.0,Standard,251.74,Direct,Check-Out,2023,4,Apr,2023-04,4,1006.96,0
BKG100073,City Hotel,2022-09-30,2022-11-05,2022-11-07,36,Canada,1,0.0,Standard,289.86,Offline Agent,Check-Out,2022,9,Sep,2022-09,2,579.72,0
BKG100074,Resort Hotel,2023-12-18,2024-03-30,2024-04-04,103,Australia,4,1.0,Suite,83.33,Corporate,Check-Out,2023,12,Dec,2023-12,5,416.65,0
BKG100075,Resort Hotel,2022-08-23,2023-02-11,2023-02-21,172,Canada,1,0.0,Family,227.11,Corporate,Check-Out,2022,8,Aug,2022-08,10,2271.1000000000004,0
BKG100076,City Hotel,2023-08-23,2023-12-12,2023-12-20,111,UAE,1,1.0,Standard,160.91,Direct,Check-Out,2023,8,Aug,2023-08,8,1287.28,0
BKG100077,Resort Hotel,2023-12-12,2024-04-16,2024-04-21,126,UAE,4,2.0,Suite,70.64,Corporate,Check-Out,2023,12,Dec,2023-12,5,353.2,0
BKG100078,Resort Hotel,2024-03-02,2024-06-13,2024-06-22,103,Germany,1,2.0,Suite,193.97,Online Travel Agent,Check-Out,2024,3,Mar,2024-03,9,1745.73,0
BKG100079,City Hotel,2024-02-18,2024-03-02,2024-03-06,13,Canada,3,2.0,Family,97.99,Online Travel Agent,Check-Out,2024,2,Feb,2024-02,4,391.96,0
BKG100080,City Hotel,2023-10-08,2024-03-11,2024-03-15,155,USA,2,0.0,Deluxe,219.74,Online Travel Agent,Check-Out,2023,10,Oct,2023-10,4,878.96,0
BKG100081,City Hotel,2022-05-01,2022-10-13,2022-10-16,165,Australia,4,0.0,Family,207.57,Offline Agent,Check-Out,2022,5,May,2022-05,3,622.71,0
BKG100082,Resort Hotel,2023-07-19,2023-08-25,2023-09-01,37,USA,2,2.0,Suite,207.39,Offline Agent,Check-Out,2023,7,Jul,2023-07,7,1451.73,0
BKG100083,City Hotel,2024-03-17,2024-07-24,2024-07-29,129,UK,1,0.0,Family,270.55,Offline Agent,Check-Out,2024,3,Mar,2024-03,5,1352.75,0
BKG100084,Resort Hotel,2023-07-20,2023-12-06,2023-12-13,139,Brazil,4,0.0,Family,312.18,Direct,Canceled,2023,7,Jul,2023-07,7,2185.26,1
BKG100085,Resort Hotel,2023-02-25,2023-03-08,2023-03-14,11,Canada,4,1.0,Standard,171.96,Online Travel Agent,Check-Out,2023,2,Feb,2023-02,6,1031.76,0
BKG100086,City Hotel,2023-08-28,2023-11-20,2023-11-22,84,India,4,0.0,Deluxe,212.53,Offline Agent,Canceled,2023,8,Aug,2023-08,2,425.06,1
BKG100087,City Hotel,2022-06-08,2022-06-27,2022-07-05,19,USA,3,0.0,Suite,240.75,Offline Agent,No-Show,2022,6,Jun,2022-06,8,1926.0,0
BKG100088,City Hotel,2023-10-04,2024-02-05,2024-02-14,124,Australia,1,2.0,Standard,79.84,Offline Agent,No-Show,2023,10,Oct,2023-10,9,718.5600000000001,0
BKG100089,Resort Hotel,2024-02-18,2024-07-29,2024-07-31,162,India,4,0.0,Suite,261.26,Online Travel Agent,Check-Out,2024,2,Feb,2024-02,2,522.52,0
BKG100090,Resort Hotel,2023-01-19,2023-05-09,2023-05-12,110,UK,2,2.0,Deluxe,179.5,Online Travel Agent,Check-Out,2023,1,Jan,2023-01,3,538.5,0
BKG100091,City Hotel,2023-01-27,2023-07-04,2023-07-08,158,Australia,4,2.0,Family,101.5,Corporate,Check-Out,2023,1,Jan,2023-01,4,406.0,0
BKG100092,City Hotel,2024-04-03,2024-07-31,2024-08-05,119,Brazil,2,0.0,Suite,188.1,Offline Agent,Check-Out,2024,4,Apr,2024-04,5,940.5,0
BKG100093,City Hotel,2023-04-13,2023-06-29,2023-07-03,77,Brazil,4,1.0,Suite,90.93,Corporate,No-Show,2023,4,Apr,2023-04,4,363.72,0
BKG100094,Resort Hotel,2022-10-30,2022-11-04,2022-11-11,5,Brazil,3,0.0,Family,224.12,Corporate,Canceled,2022,10,Oct,2022-10,7,1568.8400000000001,1
BKG100095,Resort Hotel,2022-08-24,2023-01-26,2023-02-01,155,USA,2,0.0,Standard,240.06,Corporate,Canceled,2022,8,Aug,2022-08,6,1440.3600000000001,1
BKG100096,City Hotel,2022-02-04,2022-07-02,2022-07-08,148,Australia,2,0.0,Deluxe,323.79,Direct,Check-Out,2022,2,Feb,2022-02,6,1942.7400000000002,0
BKG100097,City Hotel,2023-07-07,2023-10-08,2023-10-17,93,Australia,3,0.0,Family,134.52,Online Travel Agent,Check-Out,2023,7,Jul,2023-07,9,1210.68,0
BKG100098,City Hotel,2022-03-19,2022-04-24,2022-04-28,36,India,4,2.0,Family,166.07,Online Travel Agent,Check-Out,2022,3,Mar,2022-03,4,664.28,0
BKG100099,Resort Hotel,2023-11-20,2024-05-10,2024-05-15,172,Canada,4,0.0,Standard,91.42,Corporate,Canceled,2023,11,Nov,2023-11,5,457.1,1
BKG100100,Resort Hotel,2022-08-15,2023-01-27,2023-01-29,165,UK,4,0.0,Standard,248.28,Online Travel Agent,Check-Out,2022,8,Aug,2022-08,2,496.56,0
BKG100101,City Hotel,2023-05-20,2023-06-18,2023-06-20,29,UAE,2,2.0,Family,99.34,Direct,Canceled,2023,5,May,2023-05,2,198.68,1
BKG100102,City Hotel,2023-11-02,2023-11-27,2023-12-05,25,Germany,4,0.0,Family,69.49,Offline Agent,No-Show,2023,11,Nov,2023-11,8,555.92,0
BKG100103,City Hotel,2024-05-25,2024-08-25,2024-08-27,92,India,3,2.0,Family,321.49,Corporate,Check-Out,2024,5,May,2024-05,2,642.98,0
BKG100104,Resort Hotel,2022-05-06,2022-08-30,2022-09-01,116,UAE,2,2.0,Deluxe,341.62,Direct,Canceled,2022,5,May,2022-05,2,683.24,1
BKG100105,Resort Hotel,2022-07-30,2022-08-16,2022-08-25,17,UAE,2,2.0,Deluxe,122.63,Online Travel Agent,Check-Out,2022,7,Jul,2022-07,9,1103.67,0
BKG100106,Resort Hotel,2022-05-29,2022-07-01,2022-07-10,33,UK,3,0.0,Standard,91.88,Corporate,Canceled,2022,5,May,2022-05,9,826.92,1
BKG100107,Resort Hotel,2022-09-01,2023-01-29,2023-02-04,150,Australia,1,0.0,Standard,136.96,Online Travel Agent,Check-Out,2022,9,Sep,2022-09,6,821.76,0
BKG100108,Resort Hotel,2024-03-07,2024-06-07,2024-06-16,92,Singapore,1,1.0,Suite,206.11,Offline Agent,Check-Out,2024,3,Mar,2024-03,9,1854.9900000000002,0
BKG100109,City Hotel,2022-02-01,2022-02-16,2022-02-24,15,Canada,4,1.0,Standard,258.97,Online Travel Agent,Check-Out,2022,2,Feb,2022-02,8,2071.76,0
BKG100110,City Hotel,2022-06-01,2022-06-17,2022-06-20,16,Australia,3,2.0,Suite,243.59,Offline Agent,Check-Out,2022,6,Jun,2022-06,3,730.77,0
BKG100111,Resort Hotel,2023-03-17,2023-04-11,2023-04-13,25,Australia,2,1.0,Suite,190.95,Offline Agent,Check-Out,2023,3,Mar,2023-03,2,381.9,0
BKG100112,City Hotel,2024-01-18,2024-02-11,2024-02-17,24,UK,4,0.0,Family,252.88,Online Travel Agent,Check-Out,2024,1,Jan,2024-01,6,1517.28,0
BKG100113,Resort Hotel,2022-03-29,2022-04-21,2022-04-28,23,Brazil,1,0.0,Suite,295.41,Online Travel Agent,Check-Out,2022,3,Mar,2022-03,7,2067.8700000000003,0
BKG100114,City Hotel,2024-06-13,2024-11-30,2024-12-07,170,USA,1,0.0,Family,234.12,Direct,Check-Out,2024,6,Jun,2024-06,7,1638.8400000000001,0
BKG100115,Resort Hotel,2022-08-18,2022-09-14,2022-09-20,27,Australia,3,0.0,Standard,281.16,Corporate,Check-Out,2022,8,Aug,2022-08,6,1686.96,0
BKG100116,Resort Hotel,2022-10-07,2023-04-04,2023-04-09,179,Brazil,3,0.0,Family,61.77,Online Travel Agent,Check-Out,2022,10,Oct,2022-10,5,308.85,0
BKG100117,City Hotel,2023-10-11,2023-10-18,2023-10-20,7,UK,2,1.0,Suite,181.75,Corporate,Canceled,2023,10,Oct,2023-10,2,363.5,1
BKG100118,Resort Hotel,2024-03-06,2024-07-29,2024-08-08,145,USA,1,0.0,Suite,105.12,Offline Agent,Check-Out,2024,3,Mar,2024-03,10,1051.2,0
BKG100119,Resort Hotel,2023-05-13,2023-10-15,2023-10-23,155,UAE,4,0.0,Family,122.51,Online Travel Agent,Check-Out,2023,5,May,2023-05,8,980.08,0
BKG100120,Resort Hotel,2023-11-26,2024-04-25,2024-05-03,151,India,3,0.0,Family,123.95,Corporate,Canceled,2023,11,Nov,2023-11,8,991.6,1
BKG100121,City Hotel,2024-02-25,2024-03-31,2024-04-05,35,Australia,3,0.0,Deluxe,94.8,Direct,Check-Out,2024,2,Feb,2024-02,5,474.0,0
BKG100122,Resort Hotel,2023-12-22,2024-02-18,2024-02-27,58,Australia,3,0.0,Standard,175.15,Online Travel Agent,Canceled,2023,12,Dec,2023-12,9,1576.3500000000001,1
BKG100123,City Hotel,2024-06-01,2024-08-20,2024-08-30,80,France,4,2.0,Standard,177.28,Offline Agent,Check-Out,2024,6,Jun,2024-06,10,1772.8,0
BKG100124,Resort Hotel,2022-11-29,2023-01-11,2023-01-21,43,Germany,4,0.0,Family,85.56,Offline Agent,Check-Out,2022,11,Nov,2022-11,10,855.6,0
BKG100125,Resort Hotel,2023-02-10,2023-04-30,2023-05-06,79,Singapore,2,0.0,Standard,285.94,Direct,Canceled,2023,2,Feb,2023-02,6,1715.6399999999999,1
BKG100126,Resort Hotel,2022-12-24,2023-03-23,2023-03-26,89,UK,2,0.0,Family,102.47,Online Travel Agent,Check-Out,2022,12,Dec,2022-12,3,307.40999999999997,0
BKG100127,City Hotel,2024-03-02,2024-08-09,2024-08-17,160,Brazil,4,2.0,Suite,280.36,Corporate,Check-Out,2024,3,Mar,2024-03,8,2242.88,0
BKG100128,City Hotel,2022-03-11,2022-07-09,2022-07-17,120,Australia,3,0.0,Standard,231.51,Corporate,Check-Out,2022,3,Mar,2022-03,8,1852.08,0
BKG100129,Resort Hotel,2022-02-08,2022-02-22,2022-02-28,14,Brazil,3,0.0,Family,246.95,Offline Agent,Check-Out,2022,2,Feb,2022-02,6,1481.6999999999998,0
BKG100130,Resort Hotel,2024-03-21,2024-03-31,2024-04-08,10,India,2,0.0,Family,235.45,Online Travel Agent,Canceled,2024,3,Mar,2024-03,8,1883.6,1
BKG100131,City Hotel,2024-05-07,2024-08-02,2024-08-04,87,Canada,2,0.0,Deluxe,131.85,Corporate,Check-Out,2024,5,May,2024-05,2,263.7,0
BKG100132,City Hotel,2022-10-17,2023-01-24,2023-01-31,99,USA,3,2.0,Suite,75.19,Online Travel Agent,Check-Out,2022,10,Oct,2022-10,7,526.3299999999999,0
BKG100133,Resort Hotel,2023-01-31,2023-04-13,2023-04-18,72,UAE,2,0.0,Suite,83.64,Offline Agent,Check-Out,2023,1,Jan,2023-01,5,418.2,0
BKG100134,Resort Hotel,2023-12-27,2024-01-17,2024-01-22,21,Australia,4,0.0,Suite,295.82,Online Travel Agent,Check-Out,2023,12,Dec,2023-12,5,1479.1,0
BKG100135,Resort Hotel,2022-07-04,2022-08-27,2022-09-02,54,UK,4,0.0,Family,125.7,Corporate,Canceled,2022,7,Jul,2022-07,6,754.2,1
BKG100136,Resort Hotel,2022-04-14,2022-08-21,2022-08-30,129,Brazil,1,0.0,Family,314.15,Direct,Check-Out,2022,4,Apr,2022-04,9,2827.35,0
BKG100137,City Hotel,2024-05-01,2024-10-25,2024-11-04,177,Germany,2,1.0,Family,72.67,Corporate,Canceled,2024,5,May,2024-05,10,726.7,1
BKG100138,City Hotel,2024-03-13,2024-07-05,2024-07-09,114,Germany,2,0.0,Suite,340.02,Offline Agent,Check-Out,2024,3,Mar,2024-03,4,1360.08,0
BKG100139,Resort Hotel,2022-10-16,2023-01-21,2023-01-30,97,France,4,0.0,Standard,296.9,Offline Agent,Canceled,2022,10,Oct,2022-10,9,2672.1,1
BKG100140,Resort Hotel,2023-07-22,2023-08-17,2023-08-26,26,France,1,0.0,Family,84.32,Direct,Canceled,2023,7,Jul,2023-07,9,758.8799999999999,1
BKG100141,City Hotel,2022-04-04,2022-05-30,2022-06-07,56,Singapore,3,0.0,Suite,180.32,Direct,Check-Out,2022,4,Apr,2022-04,8,1442.56,0
BKG100142,City Hotel,2022-03-25,2022-06-28,2022-07-02,95,UK,1,0.0,Deluxe,329.94,Online Travel Agent,Check-Out,2022,3,Mar,2022-03,4,1319.76,0
BKG100143,Resort Hotel,2024-04-29,2024-08-27,2024-08-30,120,India,4,1.0,Suite,238.45,Direct,Canceled,2024,4,Apr,2024-04,3,715.3499999999999,1
BKG100144,Resort Hotel,2023-07-16,2023-12-18,2023-12-27,155,France,4,0.0,Standard,285.09,Online Travel Agent,Check-Out,2023,7,Jul,2023-07,9,2565.81,0
BKG100145,City Hotel,2023-10-17,2024-03-24,2024-04-01,159,Brazil,1,0.0,Standard,302.64,Direct,Canceled,2023,10,Oct,2023-10,8,2421.12,1
BKG100146,Resort Hotel,2022-10-26,2023-02-12,2023-02-13,109,USA,3,0.0,Suite,225.49,Online Travel Agent,No-Show,2022,10,Oct,2022-10,1,225.49,0
BKG100147,Resort Hotel,2023-07-12,2023-11-18,2023-11-27,129,Australia,1,1.0,Suite,313.27,Corporate,Canceled,2023,7,Jul,2023-07,9,2819.43,1
BKG100148,City Hotel,2023-01-01,2023-01-18,2023-01-24,17,UK,2,0.0,Standard,283.74,Corporate,Check-Out,2023,1,Jan,2023-01,6,1702.44,0
BKG100149,Resort Hotel,2024-04-13,2024-09-24,2024-09-27,164,USA,4,1.0,Family,243.2,Online Travel Agent,Check-Out,2024,4,Apr,2024-04,3,729.5999999999999,0
BKG100150,City Hotel,2022-02-14,2022-04-06,2022-04-07,51,France,3,0.0,Standard,209.46,Direct,Check-Out,2022,2,Feb,2022-02,1,209.46,0
BKG100151,City Hotel,2024-06-01,2024-06-13,2024-06-19,12,Australia,3,0.0,Family,291.81,Offline Agent,Check-Out,2024,6,Jun,2024-06,6,1750.8600000000001,0
BKG100152,Resort Hotel,2022-07-11,2022-11-15,2022-11-23,127,Australia,3,2.0,Standard,137.35,Offline Agent,Check-Out,2022,7,Jul,2022-07,8,1098.8,0
BKG100153,City Hotel,2024-04-22,2024-06-07,2024-06-16,46,Australia,3,0.0,Suite,89.75,Offline Agent,Check-Out,2024,4,Apr,2024-04,9,807.75,0
