Booking_ID,Hotel_Type,Booking_Date,Checkin_Date,Checkout_Date,Lead_Time,Country,Adults,Children,Room_Type,ADR,Booking_Channel,Cancellation_Status
BKG100030,City Hotel,2022-12-08,2023-01-10,2023-01-15,33,Singapore,2,1.0,Standard,219.99,Online Travel Agent,Check-Out
BKG100031,Resort Hotel,2023-12-09,2024-01-16,2024-01-25,38,Australia,1,0.0,Deluxe,228.93,Online Travel Agent,Check-Out
BKG100032,City Hotel,2024-03-26,2024-04-05,2024-04-11,10,Singapore,2,,Family,253.41,Direct,Canceled
BKG100033,City Hotel,2022-08-31,2022-10-11,2022-10-14,41,Australia,4,0.0,Deluxe,112.01,Corporate,Check-Out
BKG100034,City Hotel,2023-12-20,2024-01-16,2024-01-23,27,UAE,1,1.0,Suite,124.51,Direct,Check-Out
BKG100035,City Hotel,2023-11-07,2023-12-26,2024-01-02,49,UAE,3,0.0,Family,310.66,Corporate,Canceled
BKG100036,City Hotel,2022-04-29,2022-07-04,2022-07-07,66,UAE,3,0.0,Suite,91.44,,Check-Out
BKG100037,City Hotel,2023-06-08,2023-07-07,2023-07-14,29,India,2,,Deluxe,72.87,Corporate,Check-Out
BKG100038,City Hotel,2023-11-12,2024-02-04,2024-02-14,84,Singapore,3,0.0,Suite,268.73,Offline Agent,Check-Out
BKG100039,City Hotel,2023-12-15,2024-02-28,2024-03-08,75,UK,2,0.0,Suite,181.93,Offline Agent,Check-Out
BKG100040,City Hotel,2022-01-01,2022-03-19,2022-03-24,77,Canada,2,1.0,Family,287.87,Offline Agent,Check-Out
BKG100041,City Hotel,2023-06-08,2023-10-07,2023-10-10,121,USA,1,0.0,Deluxe,209.48,Corporate,Check-Out
BKG100042,Resort Hotel,2022-07-23,2022-08-29,2022-08-30,37,Canada,1,0.0,Family,345.34,Direct,Canceled
BKG100043,Resort Hotel,2023-01-29,2023-06-04,2023-06-11,126,,2,,Family,250.26,Direct,Check-Out
BKG100044,Resort Hotel,2023-12-14,2024-04-24,2024-05-02,132,Canada,1,2.0,Deluxe,132.27,Offline Agent,Check-Out
BKG100045,City Hotel,2023-07-27,2023-12-26,2024-01-01,152,Singapore,4,2.0,Family,296.35,Direct,Canceled
BKG100046,City Hotel,2023-05-02,2023-08-25,2023-08-30,115,Germany,2,0.0,Suite,282.09,Offline Agent,Check-Out
BKG100047,Resort Hotel,2022-10-20,2022-12-19,2022-12-24,60,UK,3,0.0,Deluxe,318.98,Direct,Check-Out
BKG100048,City Hotel,2022-06-06,2022-12-03,2022-12-07,180,Australia,1,1.0,Standard,178.2,Direct,Canceled
BKG100049,City Hotel,2023-02-03,2023-07-02,2023-07-03,149,France,4,1.0,Family,61.71,Offline Agent,Check-Out
BKG100050,City Hotel,2024-01-23,2024-06-10,2024-06-20,139,Canada,2,1.0,Standard,123.63,Offline Agent,Check-Out
BKG100051,Resort Hotel,2023-11-27,2024-03-09,2024-03-12,103,Australia,4,0.0,Standard,344.41,Online Travel Agent,Check-Out
BKG100052,Resort Hotel,2022-05-19,2022-09-14,2022-09-17,118,Canada,1,0.0,Suite,169.94,Corporate,Canceled
BKG100053,Resort Hotel,2023-01-24,2023-04-05,2023-04-12,71,UAE,3,0.0,Deluxe,196.39,Online Travel Agent,Canceled
BKG100054,Resort Hotel,2023-10-30,2023-11-09,2023-11-10,10,Germany,2,0.0,,303.38,Offline Agent,Check-Out
BKG100055,Resort Hotel,2023-08-01,2023-09-25,2023-10-03,55,UK,3,0.0,Suite,108.66,Online Travel Agent,Check-Out
BKG100056,Resort Hotel,2022-11-16,2023-04-12,2023-04-19,147,USA,4,0.0,Suite,82.04,,Canceled
BKG100057,City Hotel,2023-08-03,2023-08-13,2023-08-19,10,India,4,0.0,Family,80.0,Offline Agent,Check-Out
BKG100058,City Hotel,2023-01-06,2023-06-17,2023-06-25,162,Brazil,2,1.0,Family,111.08,Offline Agent,Check-Out
BKG100059,Resort Hotel,2024-01-19,2024-06-18,2024-06-23,151,France,3,0.0,Family,300.91,Direct,Canceled
BKG100060,City Hotel,2023-08-07,2024-01-10,2024-01-17,156,UK,3,,Family,203.35,Direct,Check-Out
BKG100061,Resort Hotel,2022-09-22,2022-12-18,2022-12-23,87,USA,3,2.0,Deluxe,62.94,Offline Agent,Check-Out
BKG100062,Resort Hotel,2024-02-16,2024-04-17,2024-04-25,61,,4,1.0,Deluxe,289.95,Offline Agent,Check-Out
BKG100063,City Hotel,2022-11-10,2023-04-28,2023-05-08,169,Australia,3,1.0,Suite,220.51,,Canceled
BKG100064,City Hotel,2022-10-05,2022-12-22,2022-12-27,78,USA,2,0.0,Deluxe,269.17,Direct,Check-Out
BKG100065,City Hotel,2023-05-11,2023-07-20,2023-07-30,70,Germany,3,0.0,Suite,301.46,Direct,Check-Out
BKG100066,City Hotel,2023-12-27,2024-05-11,2024-05-14,136,UK,3,0.0,Family,342.55,Online Travel Agent,Canceled
BKG100067,Resort Hotel,2023-08-11,2023-10-22,2023-10-30,72,France,4,1.0,Family,158.8,,Canceled
BKG100068,City Hotel,2023-02-15,2023-06-20,2023-06-22,125,USA,1,0.0,Deluxe,103.27,Online Travel Agent,Check-Out
BKG100069,City Hotel,2023-03-03,2023-08-05,2023-08-15,155,,2,2.0,Family,170.31,,Check-Out
BKG100070,Resort Hotel,2022-03-03,2022-08-06,2022-08-08,156,UK,2,0.0,Deluxe,136.75,Direct,Check-Out
BKG100071,Resort Hotel,2022-06-10,2022-06-10,2022-06-17,0,Germany,4,2.0,Suite,196.27,Corporate,Canceled
BKG100072,Resort Hotel,2023-04-10,2023-04-28,2023-05-02,18,Australia,3,2.0,Standard,251.74,Direct,Check-Out
BKG100073,City Hotel,2022-09-30,2022-11-05,2022-11-07,36,Canada,1,0.0,Standard,289.86,Offline Agent,Check-Out
BKG100074,Resort Hotel,2023-12-18,2024-03-30,2024-04-04,103,Australia,4,1.0,Suite,83.33,Corporate,Check-Out
BKG100075,Resort Hotel,2022-08-23,2023-02-11,2023-02-21,172,Canada,1,0.0,Family,227.11,Corporate,Check-Out
BKG100076,City Hotel,2023-08-23,2023-12-12,2023-12-20,111,UAE,1,1.0,Standard,160.91,Direct,Check-Out
BKG100077,Resort Hotel,2023-12-12,2024-04-16,2024-04-21,126,UAE,4,2.0,Suite,70.64,Corporate,Check-Out
BKG100078,Resort Hotel,2024-03-02,2024-06-13,2024-06-22,103,Germany,1,2.0,Suite,193.97,,Check-Out
BKG100079,City Hotel,2024-02-18,2024-03-02,2024-03-06,13,Canada,3,2.0,Family,97.99,Online Travel Agent,Check-Out
BKG100080,City Hotel,2023-10-08,2024-03-11,2024-03-15,155,USA,2,0.0,Deluxe,219.74,Online Travel Agent,Check-Out
BKG100081,City Hotel,2022-05-01,2022-10-13,2022-10-16,165,Australia,4,0.0,Family,207.57,Offline Agent,Check-Out
BKG100082,Resort Hotel,2023-07-19,2023-08-25,2023-09-01,37,USA,2,2.0,Suite,207.39,Offline Agent,Check-Out
BKG100083,City Hotel,2024-03-17,2024-07-24,2024-07-29,129,UK,1,0.0,Family,270.55,Offline Agent,Check-Out
BKG100084,Resort Hotel,2023-07-20,2023-12-06,2023-12-13,139,Brazil,4,0.0,Family,312.18,Direct,Canceled
BKG100085,Resort Hotel,2023-02-25,2023-03-08,2023-03-14,11,Canada,4,1.0,Standard,171.96,,Check-Out
BKG100086,City Hotel,2023-08-28,2023-11-20,2023-11-22,84,India,4,0.0,Deluxe,212.53,Offline Agent,Canceled
BKG100087,City Hotel,2022-06-08,2022-06-27,2022-07-05,19,USA,3,0.0,Suite,240.75,Offline Agent,No-Show
BKG100088,City Hotel,2023-10-04,2024-02-05,2024-02-14,124,,1,2.0,Standard,79.84,Offline Agent,No-Show
BKG100089,Resort Hotel,2024-02-18,2024-07-29,2024-07-31,162,India,4,0.0,Suite,261.26,Online Travel Agent,Check-Out
BKG100090,Resort Hotel,2023-01-19,2023-05-09,2023-05-12,110,UK,2,2.0,Deluxe,179.5,Online Travel Agent,Check-Out
BKG100091,City Hotel,2023-01-27,2023-07-04,2023-07-08,158,,4,2.0,Family,101.5,Corporate,Check-Out
BKG100092,City Hotel,2024-04-03,2024-07-31,2024-08-05,119,Brazil,2,0.0,Suite,188.1,Offline Agent,Check-Out
BKG100093,City Hotel,2023-04-13,2023-06-29,2023-07-03,77,Brazil,4,1.0,Suite,90.93,Corporate,No-Show
BKG100094,Resort Hotel,2022-10-30,2022-11-04,2022-11-11,5,Brazil,3,0.0,Family,224.12,Corporate,Canceled
BKG100095,Resort Hotel,2022-08-24,2023-01-26,2023-02-01,155,USA,2,0.0,Standard,240.06,Corporate,Canceled
BKG100096,City Hotel,2022-02-04,2022-07-02,2022-07-08,148,Australia,2,0.0,Deluxe,323.79,Direct,Check-Out
BKG100097,City Hotel,2023-07-07,2023-10-08,2023-10-17,93,,3,0.0,,134.52,Online Travel Agent,Check-Out
BKG100098,City Hotel,2022-03-19,2022-04-24,2022-04-28,36,India,4,2.0,,166.07,Online Travel Agent,Check-Out
BKG100099,Resort Hotel,2023-11-20,2024-05-10,2024-05-15,172,Canada,4,0.0,Standard,91.42,Corporate,Canceled
BKG100100,Resort Hotel,2022-08-15,2023-01-27,2023-01-29,165,UK,4,0.0,Standard,248.28,Online Travel Agent,Check-Out
BKG100101,City Hotel,2023-05-20,2023-06-18,2023-06-20,29,UAE,2,2.0,Family,99.34,Direct,Canceled
BKG100102,City Hotel,2023-11-02,2023-11-27,2023-12-05,25,Germany,4,0.0,Family,69.49,Offline Agent,No-Show
BKG100103,City Hotel,2024-05-25,2024-08-25,2024-08-27,92,India,3,2.0,Family,321.49,Corporate,Check-Out
BKG100104,Resort Hotel,2022-05-06,2022-08-30,2022-09-01,116,UAE,2,2.0,Deluxe,341.62,Direct,Canceled
BKG100105,Resort Hotel,2022-07-30,2022-08-16,2022-08-25,17,UAE,2,2.0,Deluxe,122.63,Online Travel Agent,Check-Out
BKG100106,Resort Hotel,2022-05-29,2022-07-01,2022-07-10,33,UK,3,0.0,Standard,91.88,Corporate,Canceled
BKG100107,Resort Hotel,2022-09-01,2023-01-29,2023-02-04,150,Australia,1,,Standard,136.96,Online Travel Agent,Check-Out
BKG100108,Resort Hotel,2024-03-07,2024-06-07,2024-06-16,92,Singapore,1,1.0,Suite,206.11,Offline Agent,Check-Out
BKG100109,City Hotel,2022-02-01,2022-02-16,2022-02-24,15,Canada,4,1.0,Standard,258.97,Online Travel Agent,Check-Out
BKG100110,City Hotel,2022-06-01,2022-06-17,2022-06-20,16,Australia,3,2.0,Suite,243.59,Offline Agent,Check-Out
BKG100111,Resort Hotel,2023-03-17,2023-04-11,2023-04-13,25,Australia,2,1.0,Suite,190.95,Offline Agent,Check-Out
BKG100112,City Hotel,2024-01-18,2024-02-11,2024-02-17,24,UK,4,0.0,Family,252.88,Online Travel Agent,Check-Out
BKG100113,Resort Hotel,2022-03-29,2022-04-21,2022-04-28,23,Brazil,1,,Suite,295.41,Online Travel Agent,Check-Out
BKG100114,City Hotel,2024-06-13,2024-11-30,2024-12-07,170,USA,1,0.0,,234.12,Direct,Check-Out
BKG100115,Resort Hotel,2022-08-18,2022-09-14,2022-09-20,27,Australia,3,0.0,Standard,281.16,Corporate,Check-Out
BKG100116,Resort Hotel,2022-10-07,2023-04-04,2023-04-09,179,Brazil,3,0.0,Family,61.77,,Check-Out
BKG100117,City Hotel,2023-10-11,2023-10-18,2023-10-20,7,UK,2,1.0,Suite,181.75,Corporate,Canceled
BKG100118,Resort Hotel,2024-03-06,2024-07-29,2024-08-08,145,USA,1,0.0,Suite,105.12,Offline Agent,Check-Out
BKG100119,Resort Hotel,2023-05-13,2023-10-15,2023-10-23,155,UAE,4,0.0,Family,122.51,Online Travel Agent,Check-Out
BKG100120,Resort Hotel,2023-11-26,2024-04-25,2024-05-03,151,India,3,0.0,,123.95,Corporate,Canceled
BKG100121,City Hotel,2024-02-25,2024-03-31,2024-04-05,35,,3,0.0,Deluxe,94.8,Direct,Check-Out
BKG100122,Resort Hotel,2023-12-22,2024-02-18,2024-02-27,58,Australia,3,0.0,Standard,175.15,,Canceled
BKG100123,City Hotel,2024-06-01,2024-08-20,2024-08-30,80,France,4,2.0,Standard,177.28,Offline Agent,Check-Out
BKG100124,Resort Hotel,2022-11-29,2023-01-11,2023-01-21,43,Germany,4,0.0,Family,85.56,Offline Agent,Check-Out
BKG100125,Resort Hotel,2023-02-10,2023-04-30,2023-05-06,79,Singapore,2,0.0,Standard,285.94,Direct,Canceled
BKG100126,Resort Hotel,2022-12-24,2023-03-23,2023-03-26,89,UK,2,0.0,,102.47,Online Travel Agent,Check-Out
BKG100127,City Hotel,2024-03-02,2024-08-09,2024-08-17,160,Brazil,4,2.0,Suite,280.36,Corporate,Check-Out
BKG100128,City Hotel,2022-03-11,2022-07-09,2022-07-17,120,,3,0.0,Standard,231.51,Corporate,Check-Out
BKG100129,Resort Hotel,2022-02-08,2022-02-22,2022-02-28,14,Brazil,3,0.0,Family,246.95,Offline Agent,Check-Out
BKG100130,Resort Hotel,2024-03-21,2024-03-31,2024-04-08,10,India,2,0.0,Family,235.45,Online Travel Agent,Canceled
BKG100131,City Hotel,2024-05-07,2024-08-02,2024-08-04,87,Canada,2,0.0,Deluxe,131.85,Corporate,Check-Out
BKG100132,City Hotel,2022-10-17,2023-01-24,2023-01-31,99,USA,3,2.0,Suite,75.19,Online Travel Agent,Check-Out
BKG100133,Resort Hotel,2023-01-31,2023-04-13,2023-04-18,72,UAE,2,,Suite,83.64,Offline Agent,Check-Out
BKG100134,Resort Hotel,2023-12-27,2024-01-17,2024-01-22,21,Australia,4,0.0,Suite,295.82,,Check-Out
BKG100135,Resort Hotel,2022-07-04,2022-08-27,2022-09-02,54,UK,4,0.0,,125.7,Corporate,Canceled
BKG100136,Resort Hotel,2022-04-14,2022-08-21,2022-08-30,129,Brazil,1,0.0,Family,314.15,Direct,Check-Out
BKG100137,City Hotel,2024-05-01,2024-10-25,2024-11-04,177,Germany,2,1.0,Family,72.67,Corporate,Canceled
BKG100138,City Hotel,2024-03-13,2024-07-05,2024-07-09,114,Germany,2,0.0,Suite,340.02,Offline Agent,Check-Out
BKG100139,Resort Hotel,2022-10-16,2023-01-21,2023-01-30,97,France,4,0.0,Standard,296.9,Offline Agent,Canceled
BKG100140,Resort Hotel,2023-07-22,2023-08-17,2023-08-26,26,France,1,0.0,Family,84.32,Direct,Canceled
BKG100141,City Hotel,2022-04-04,2022-05-30,2022-06-07,56,Singapore,3,0.0,Suite,180.32,Direct,Check-Out
BKG100142,City Hotel,2022-03-25,2022-06-28,2022-07-02,95,UK,1,,Deluxe,329.94,Online Travel Agent,Check-Out
BKG100143,Resort Hotel,2024-04-29,2024-08-27,2024-08-30,120,India,4,1.0,Suite,238.45,Direct,Canceled
BKG100144,Resort Hotel,2023-07-16,2023-12-18,2023-12-27,155,France,4,0.0,Standard,285.09,Online Travel Agent,Check-Out
BKG100145,City Hotel,2023-10-17,2024-03-24,2024-04-01,159,Brazil,1,0.0,Standard,302.64,Direct,Canceled
BKG100146,Resort Hotel,2022-10-26,2023-02-12,2023-02-13,109,USA,3,0.0,Suite,225.49,Online Travel Agent,No-Show
BKG100147,Resort Hotel,2023-07-12,2023-11-18,2023-11-27,129,Australia,1,1.0,Suite,313.27,Corporate,Canceled
BKG100148,City Hotel,2023-01-01,2023-01-18,2023-01-24,17,UK,2,0.0,Standard,283.74,Corporate,Check-Out
BKG100149,Resort Hotel,2024-04-13,2024-09-24,2024-09-27,164,USA,4,1.0,Family,243.2,Online Travel Agent,Check-Out
BKG100150,City Hotel,2022-02-14,2022-04-06,2022-04-07,51,France,3,0.0,Standard,209.46,Direct,Check-Out
BKG100151,City Hotel,2024-06-01,2024-06-13,2024-06-19,12,Australia,3,0.0,Family,291.81,Offline Agent,Check-Out
BKG100152,Resort Hotel,2022-07-11,2022-11-15,2022-11-23,127,Australia,3,2.0,Standard,137.35,Offline Agent,Check-Out
BKG100153,City Hotel,2024-04-22,2024-06-07,2024-06-16,46,,3,0.0,Suite,89.75,Offline Agent,Check-Out
BKG100154,City Hotel,2023-03-13,2023-04-24,2023-05-02,42,Brazil,3,1.0,Family,72.28,Corporate,Check-Out
BKG100155,Resort Hotel,2024-03-21,2024-04-04,2024-04-06,14,,4,0.0,Deluxe,208.79,Offline Agent,Check-Out
BKG100156,Resort Hotel,2022-03-10,2022-05-09,2022-05-15,60,Brazil,3,1.0,,335.35,Offline Agent,Canceled
BKG100157,City Hotel,2023-01-16,2023-05-09,2023-05-11,113,France,2,2.0,Deluxe,166.42,Online Travel Agent,Check-Out
BKG100158,City Hotel,2022-07-10,2022-11-14,2022-11-23,127,Canada,4,2.0,Deluxe,94.15,Corporate,Check-Out
BKG100159,City Hotel,2023-05-18,2023-07-08,2023-07-10,51,USA,2,0.0,Suite,191.09,Corporate,Canceled
BKG100160,Resort Hotel,2023-07-18,2023-12-03,2023-12-08,138,,3,0.0,Deluxe,266.42,Online Travel Agent,No-Show
BKG100161,City Hotel,2024-03-22,2024-04-26,2024-04-30,35,Canada,4,,Deluxe,164.66,Online Travel Agent,Check-Out
BKG100162,Resort Hotel,2023-02-12,2023-06-14,2023-06-23,122,UK,4,1.0,Suite,298.77,Online Travel Agent,Check-Out
BKG100163,Resort Hotel,2023-11-28,2024-04-08,2024-04-14,132,UK,2,,Family,245.54,Online Travel Agent,Canceled
BKG100164,Resort Hotel,2023-06-15,2023-07-24,2023-07-29,39,UAE,2,0.0,Suite,153.57,Online Travel Agent,Check-Out
BKG100165,Resort Hotel,2023-10-13,2024-03-02,2024-03-07,141,Singapore,2,0.0,Deluxe,238.18,Direct,Check-Out
BKG100166,City Hotel,2023-10-02,2024-03-04,2024-03-10,154,Germany,1,0.0,Family,83.55,Online Travel Agent,Check-Out
BKG100167,City Hotel,2023-10-05,2024-02-21,2024-02-26,139,France,3,1.0,Family,131.01,Online Travel Agent,Check-Out
BKG100168,Resort Hotel,2022-06-11,2022-10-01,2022-10-08,112,UAE,4,1.0,Suite,119.17,Corporate,No-Show
BKG100169,Resort Hotel,2022-05-14,2022-08-16,2022-08-25,94,France,1,0.0,Family,130.1,Direct,Check-Out
BKG100170,Resort Hotel,2022-02-21,2022-05-06,2022-05-13,74,UAE,4,0.0,Suite,339.18,Direct,Canceled
BKG100171,Resort Hotel,2023-05-26,2023-10-04,2023-10-12,131,Australia,4,0.0,Family,204.24,Direct,Check-Out
BKG100172,City Hotel,2022-12-28,2023-01-09,2023-01-10,12,France,3,1.0,Standard,233.28,Online Travel Agent,Check-Out
BKG100173,Resort Hotel,2022-09-28,2022-12-30,2023-01-06,93,UAE,3,0.0,Suite,176.17,Online Travel Agent,Check-Out
BKG100174,City Hotel,2023-04-07,2023-08-25,2023-08-30,140,UAE,1,0.0,Suite,342.77,Corporate,Canceled
BKG100175,Resort Hotel,2022-07-23,2022-12-24,2023-01-02,154,,4,2.0,Suite,71.67,,Check-Out
BKG100176,City Hotel,2022-06-02,2022-11-04,2022-11-13,155,UK,2,0.0,Family,330.1,,Check-Out
BKG100177,Resort Hotel,2023-06-04,2023-10-12,2023-10-21,130,,4,2.0,Suite,146.94,Online Travel Agent,No-Show
BKG100178,Resort Hotel,2023-08-21,2023-11-07,2023-11-08,78,India,4,0.0,Family,340.45,Direct,Check-Out
BKG100179,Resort Hotel,2024-01-09,2024-06-15,2024-06-22,158,Germany,2,0.0,Standard,69.16,Offline Agent,Check-Out
BKG100180,City Hotel,2022-06-05,2022-09-18,2022-09-22,105,India,4,2.0,Deluxe,284.74,Direct,Check-Out
BKG100181,City Hotel,2023-11-10,2024-03-11,2024-03-20,122,Singapore,4,0.0,,337.44,Corporate,Check-Out
BKG100182,City Hotel,2024-06-07,2024-11-28,2024-12-03,174,Singapore,4,0.0,Suite,337.63,Direct,Canceled
BKG100183,City Hotel,2022-11-01,2023-01-13,2023-01-17,73,France,4,0.0,Standard,199.14,Offline Agent,Canceled
BKG100184,Resort Hotel,2023-02-09,2023-05-08,2023-05-11,88,UAE,3,0.0,Family,143.41,Corporate,Canceled
BKG100185,Resort Hotel,2022-08-08,2022-09-28,2022-10-07,51,USA,3,2.0,Deluxe,261.89,Direct,Check-Out
BKG100186,City Hotel,2023-06-28,2023-08-24,2023-08-28,57,USA,1,0.0,Deluxe,179.86,Online Travel Agent,No-Show
BKG100187,City Hotel,2022-06-11,2022-09-23,2022-10-01,104,UAE,4,0.0,Suite,279.21,Online Travel Agent,Canceled
BKG100188,Resort Hotel,2022-04-02,2022-09-15,2022-09-25,166,UK,2,2.0,Family,274.22,Direct,Canceled
BKG100189,Resort Hotel,2022-02-07,2022-05-19,2022-05-27,101,France,2,0.0,Standard,314.26,Corporate,Check-Out
BKG100190,City Hotel,2023-10-19,2024-03-06,2024-03-15,139,France,4,0.0,Deluxe,306.81,Online Travel Agent,Check-Out
BKG100191,City Hotel,2024-01-19,2024-05-15,2024-05-20,117,Brazil,2,,Deluxe,273.62,Direct,Check-Out
BKG100192,Resort Hotel,2023-10-17,2024-01-28,2024-02-04,103,UK,3,0.0,Deluxe,176.24,,Check-Out
BKG100193,City Hotel,2022-09-12,2022-09-13,2022-09-18,1,UAE,4,0.0,Suite,189.55,Online Travel Agent,Check-Out
BKG100194,Resort Hotel,2023-01-04,2023-06-30,2023-07-04,177,Australia,1,0.0,Suite,194.96,Online Travel Agent,Check-Out
BKG100195,City Hotel,2022-10-30,2023-02-01,2023-02-11,94,UK,2,0.0,,337.63,Corporate,Check-Out
BKG100196,Resort Hotel,2023-07-17,2023-11-14,2023-11-23,120,Singapore,2,0.0,Family,257.3,Corporate,Check-Out
BKG100197,Resort Hotel,2023-08-01,2023-08-29,2023-08-30,28,UAE,2,2.0,Family,215.63,Online Travel Agent,Check-Out
BKG100198,Resort Hotel,2024-01-05,2024-06-02,2024-06-10,149,Canada,1,2.0,Deluxe,189.19,Offline Agent,Check-Out
BKG100199,Resort Hotel,2022-03-01,2022-07-22,2022-07-30,143,Germany,3,,Standard,174.83,Online Travel Agent,Check-Out
BKG100200,City Hotel,2023-12-19,2024-01-04,2024-01-13,16,India,1,0.0,,345.98,Offline Agent,Check-Out
BKG100201,City Hotel,2022-05-19,2022-10-30,2022-11-06,164,Australia,3,1.0,Standard,190.08,Direct,Check-Out
BKG100202,Resort Hotel,2022-12-23,2023-01-22,2023-01-25,30,India,4,2.0,Standard,96.93,Corporate,Check-Out
BKG100203,City Hotel,2024-01-07,2024-05-25,2024-06-01,139,,4,0.0,Suite,131.78,Direct,Canceled
BKG100204,Resort Hotel,2024-01-13,2024-02-10,2024-02-11,28,Germany,4,2.0,Deluxe,282.16,Online Travel Agent,Check-Out
BKG100205,City Hotel,2022-02-04,2022-05-29,2022-06-08,114,Canada,1,0.0,Deluxe,274.76,Direct,Canceled
BKG100206,City Hotel,2024-03-05,2024-03-19,2024-03-22,14,Brazil,3,0.0,Suite,296.58,Direct,Check-Out
BKG100207,Resort Hotel,2022-05-27,2022-11-12,2022-11-21,169,Singapore,2,1.0,Deluxe,147.15,Offline Agent,Check-Out
BKG100208,City Hotel,2022-02-18,2022-05-17,2022-05-24,88,Australia,3,1.0,Deluxe,178.4,Offline Agent,Check-Out
BKG100209,City Hotel,2022-08-19,2022-11-03,2022-11-06,76,Singapore,4,0.0,Deluxe,223.09,Offline Agent,Check-Out
BKG100210,Resort Hotel,2022-07-28,2022-10-20,2022-10-22,84,India,4,0.0,Suite,86.81,Offline Agent,Check-Out
BKG100211,Resort Hotel,2023-09-10,2023-09-20,2023-09-22,10,Canada,2,2.0,Deluxe,270.05,,Check-Out
BKG100212,Resort Hotel,2022-01-16,2022-03-11,2022-03-15,54,Australia,1,1.0,Deluxe,325.19,,Canceled
BKG100213,City Hotel,2023-01-25,2023-05-24,2023-06-02,119,,3,0.0,Standard,135.85,Offline Agent,Canceled
