Transaction ID,Customer ID,Transaction Date,Transaction Amount,Transaction Type,Merchant Category,Location,Device Used,Fraud Flag
T100105,C2105,2024-01-27,3814.45,POS,Travel,Delhi,POS Terminal,No
T100106,C1083,2025-01-21,20637.07,Online,Travel,Hyderabad,Mobile,No
T100107,C1489,2024-03-05,11357.71,POS,Electronics,Lucknow,POS Terminal,No
T100108,C1953,2024-12-24,3509.09,POS,Entertainment,Bangalore,POS Terminal,No
T100109,C1235,2025-02-02,4033.6,Online,Fuel,Delhi,Tablet,Yes
T100110,C1639,2024-10-21,6150.15,ATM,Healthcare,Kolkata,ATM Machine,No
T100111,C1407,2024-02-08,3643.82,ATM,Travel,Delhi,ATM Machine,No
T100112,C1618,2025-03-11,18629.1,ATM,E-commerce,Delhi,ATM Machine,No
T100113,C2160,2025-02-04,40444.39,Online,Entertainment,Jaipur,Desktop,No
T100114,C1142,2024-09-16,12851.37,ATM,Entertainment,Mumbai,ATM Machine,No
T100115,C2004,2024-02-24,13084.76,POS,Entertainment,Ahmedabad,POS Terminal,No
T100116,C1892,2024-03-31,16171.61,ATM,Utilities,Chennai,ATM Machine,No
T100117,C2103,2025-01-31,2879.89,POS,Fashion,Kolkata,POS Terminal,No
T100118,C1550,2024-06-14,44649.44,Online,Electronics,Chennai,Desktop,No
T100119,C1952,2024-10-18,11017.17,ATM,Healthcare,Pune,ATM Machine,Yes
T100120,C1666,2024-04-03,12130.86,POS,Travel,Pune,POS Terminal,No
T100121,C1698,2024-05-23,17973.78,ATM,Fuel,Jaipur,ATM Machine,Yes
T100122,C1392,2024-02-13,16036.57,Online,Healthcare,Ahmedabad,Tablet,No
T100123,C1976,2024-11-26,2646.01,ATM,Fashion,Ahmedabad,ATM Machine,No
T100124,C1191,2024-05-30,11551.17,Online,Healthcare,Hyderabad,Desktop,No
T100125,C1756,2024-08-30,8828.6,ATM,Utilities,Pune,ATM Machine,No
T100126,C2128,2024-06-18,12288.42,POS,Fashion,Chennai,POS Terminal,No
T100127,C1473,2024-03-02,17284.25,ATM,Travel,Pune,ATM Machine,No
T100128,C2098,2025-05-01,635.57,ATM,Restaurant,Hyderabad,ATM Machine,No
T100129,C1992,2024-05-21,10459.57,ATM,E-commerce,Jaipur,ATM Machine,No
T100130,C1206,2025-03-02,20987.07,Online,Fuel,Hyderabad,Desktop,No
T100131,C1029,2024-12-28,4831.1,ATM,Restaurant,Chennai,ATM Machine,No
T100132,C1112,2024-10-10,1885.99,POS,Restaurant,Ahmedabad,POS Terminal,No
T100133,C1026,2024-10-20,5130.47,POS,Fashion,Ahmedabad,POS Terminal,No
T100134,C1378,2025-05-09,47156.9,Online,Fuel,Ahmedabad,Mobile,No
T100135,C1821,2024-09-08,16295.51,Online,E-commerce,Mumbai,Mobile,No
T100136,C2153,2025-04-30,7829.98,POS,Electronics,Hyderabad,POS Terminal,No
T100137,C1853,2024-11-06,14208.87,ATM,E-commerce,Hyderabad,ATM Machine,No
T100138,C1780,2024-08-18,5518.08,POS,Fuel,Lucknow,POS Terminal,No
T100139,C1626,2024-10-18,19449.75,ATM,Grocery,Lucknow,ATM Machine,No
T100140,C1204,2025-04-30,48129.88,Online,Travel,Chennai,Tablet,No
T100141,C1492,2024-03-29,5409.75,ATM,Electronics,Bangalore,ATM Machine,Yes
T100142,C1923,2024-12-18,10196.35,ATM,Fashion,Chennai,ATM Machine,No
T100143,C1591,2024-12-27,4583.09,POS,Fashion,Delhi,POS Terminal,No
T100144,C1542,2025-02-07,6054.39,ATM,E-commerce,Hyderabad,ATM Machine,No
T100145,C2116,2024-04-25,1219.3,ATM,Restaurant,Chennai,ATM Machine,No
T100146,C1147,2024-01-31,30556.3,Online,Fuel,Lucknow,Tablet,No
T100147,C1592,2024-08-12,25233.42,Online,Fashion,Chennai,Tablet,No
T100148,C1558,2024-09-13,1503.84,ATM,Fashion,Ahmedabad,ATM Machine,No
T100149,C1082,2025-03-31,4251.83,POS,Entertainment,Lucknow,POS Terminal,No
T100150,C1188,2024-04-27,18211.18,ATM,E-commerce,Lucknow,ATM Machine,No
T100151,C1552,2024-10-22,12130.18,Online,Restaurant,Ahmedabad,Tablet,No
T100152,C1570,2024-04-02,3325.45,ATM,Healthcare,Ahmedabad,ATM Machine,No
T100153,C1963,2024-06-27,7392.85,POS,Entertainment,Pune,POS Terminal,No
T100154,C1330,2024-06-17,14786.19,POS,Fashion,Chennai,POS Terminal,No
T100155,C1821,2025-02-20,5220.08,ATM,Grocery,Ahmedabad,ATM Machine,No
T100156,C1517,2024-06-14,33672.35,Online,Healthcare,Jaipur,Mobile,No
T100157,C2112,2024-08-24,11448.13,POS,Grocery,Hyderabad,POS Terminal,No
T100158,C2021,2024-11-16,3640.8,POS,Grocery,Hyderabad,POS Terminal,No
T100159,C1269,2025-04-19,10950.42,POS,Fashion,Ahmedabad,POS Terminal,No
T100160,C1491,2024-12-29,18515.6,Online,Fuel,Jaipur,Mobile,No
T100161,C1191,2024-04-25,31688.83,Online,Fashion,Delhi,Tablet,No
T100162,C2021,2025-04-22,12853.83,ATM,Fuel,Jaipur,ATM Machine,No
T100163,C1851,2025-03-03,8083.04,POS,Fashion,Hyderabad,POS Terminal,No
T100164,C1297,2024-07-15,4696.43,Online,E-commerce,Jaipur,Tablet,No
T100165,C1143,2024-05-21,12546.01,POS,Entertainment,Jaipur,POS Terminal,No
T100166,C1006,2024-05-24,6755.21,ATM,Fuel,Lucknow,ATM Machine,No
T100167,C2003,2025-03-19,9488.62,Online,Fashion,Jaipur,Desktop,No
T100168,C2131,2025-01-25,1295.12,ATM,Healthcare,Ahmedabad,ATM Machine,No
T100169,C1387,2024-12-23,29626.47,Online,E-commerce,Kolkata,Mobile,No
T100170,C1842,2024-01-23,10195.71,POS,Fashion,Kolkata,POS Terminal,No
T100171,C1312,2024-09-10,1026.07,Online,Restaurant,Jaipur,Tablet,No
T100172,C1206,2025-03-23,7730.19,POS,Electronics,Jaipur,POS Terminal,No
T100173,C1032,2025-01-04,11479.49,Online,Healthcare,Bangalore,Mobile,No
T100174,C1543,2024-06-22,13080.87,ATM,Healthcare,Delhi,ATM Machine,No
T100175,C2093,2024-07-13,2698.06,POS,Fashion,Jaipur,POS Terminal,No
T100176,C1141,2024-04-30,13973.29,ATM,Fuel,Hyderabad,ATM Machine,No
T100177,C1889,2025-05-15,19459.42,Online,Electronics,Ahmedabad,Mobile,No
T100178,C1060,2024-01-24,14057.28,POS,Grocery,Chennai,POS Terminal,No
T100179,C1883,2024-03-15,7048.54,Online,Utilities,Kolkata,Tablet,No
T100180,C1369,2024-03-28,17185.1,Online,Electronics,Lucknow,Desktop,No
T100181,C1494,2024-09-11,2712.73,ATM,Restaurant,Hyderabad,ATM Machine,No
T100182,C1521,2024-08-23,13877.93,POS,Grocery,Ahmedabad,POS Terminal,No
T100183,C2120,2024-03-21,43891.5,Online,Fashion,Pune,Tablet,No
T100184,C1869,2024-12-19,3943.33,POS,Fashion,Chennai,POS Terminal,No
T100185,C1788,2025-03-12,9933.76,POS,Electronics,Hyderabad,POS Terminal,No
T100186,C1736,2024-10-21,12276.61,POS,Fuel,Mumbai,POS Terminal,No
T100187,C1811,2024-05-20,27849.0,Online,E-commerce,Mumbai,Tablet,No
T100188,C1587,2025-02-01,26576.6,Online,E-commerce,Pune,Mobile,No
T100189,C1514,2024-12-13,5216.12,ATM,Restaurant,Delhi,ATM Machine,No
T100190,C1081,2024-06-07,1487.23,POS,Grocery,Lucknow,POS Terminal,No
T100191,C1270,2024-02-16,13468.51,POS,Entertainment,Kolkata,POS Terminal,No
T100192,C1271,2025-02-06,18058.15,ATM,Entertainment,Jaipur,ATM Machine,No
T100193,C1559,2025-03-01,31728.45,Online,Fuel,Ahmedabad,Desktop,No
T100194,C1694,2025-02-15,17083.68,Online,Fashion,Delhi,Mobile,No
T100195,C1463,2025-03-16,7309.59,ATM,Healthcare,Jaipur,ATM Machine,No
T100196,C1809,2024-01-08,10916.74,POS,Utilities,Delhi,POS Terminal,No
T100197,C1537,2024-10-26,13466.94,POS,Entertainment,Delhi,POS Terminal,No
T100198,C1966,2024-01-13,17798.19,ATM,Utilities,Pune,ATM Machine,No
T100199,C1454,2024-11-27,39037.8,Online,Fashion,Chennai,Tablet,No
T100200,C1287,2024-01-24,32173.18,Online,Fuel,Ahmedabad,Mobile,No
T100201,C2101,2024-03-10,1353.69,POS,Fashion,Pune,POS Terminal,No
T100202,C2107,2024-08-02,3651.76,ATM,Restaurant,Kolkata,ATM Machine,No
T100203,C2003,2024-11-11,13488.46,POS,Fuel,Mumbai,POS Terminal,No
T100204,C1445,2024-08-15,9135.79,POS,Travel,Pune,POS Terminal,No
T100205,C1753,2024-10-05,679.34,ATM,Entertainment,Mumbai,ATM Machine,No
T100206,C1389,2025-05-10,5253.28,Online,Fashion,Delhi,Tablet,No
T100207,C1044,2024-01-26,9986.18,POS,Travel,Bangalore,POS Terminal,No
T100208,C1421,2024-02-05,598.7,ATM,Travel,Lucknow,ATM Machine,No
T100209,C1478,2024-06-17,8208.24,Online,E-commerce,Mumbai,Desktop,No
T100210,C1297,2024-03-07,11200.31,ATM,Fuel,Bangalore,ATM Machine,No
T100211,C1053,2024-03-08,34656.38,Online,Entertainment,Hyderabad,Tablet,No
T100212,C1357,2024-05-15,32667.67,Online,Restaurant,Kolkata,Tablet,No
T100213,C1131,2024-08-31,3441.61,POS,Entertainment,Jaipur,POS Terminal,No
T100214,C1926,2024-09-14,35666.53,Online,E-commerce,Mumbai,Tablet,No
T100215,C2068,2024-06-03,3635.01,POS,Grocery,Mumbai,POS Terminal,No
T100216,C1823,2024-08-06,6845.29,ATM,Electronics,Ahmedabad,ATM Machine,No
T100217,C1909,2024-02-07,37375.27,Online,Entertainment,Lucknow,Mobile,No
T100218,C1564,2024-11-15,13167.84,ATM,E-commerce,Jaipur,ATM Machine,No
T100219,C1781,2024-11-01,17059.86,ATM,Fuel,Ahmedabad,ATM Machine,No
T100220,C1882,2024-02-20,13323.45,ATM,Electronics,Jaipur,ATM Machine,No
T100221,C1441,2024-08-08,8567.8,POS,Travel,Kolkata,POS Terminal,No
T100222,C1929,2024-07-23,1495.75,POS,Electronics,Pune,POS Terminal,No
T100223,C1523,2024-07-10,18512.25,Online,Fashion,Delhi,Mobile,No
T100224,C1191,2024-08-09,13407.08,Online,Entertainment,Bangalore,Tablet,No
T100225,C2151,2024-10-14,3735.45,POS,Electronics,Kolkata,POS Terminal,No
T100226,C1867,2025-03-20,19473.71,ATM,Grocery,Chennai,ATM Machine,No
T100227,C1721,2024-02-23,8165.41,ATM,Utilities,Hyderabad,ATM Machine,No
T100228,C1988,2024-04-24,44623.92,Online,Entertainment,Jaipur,Desktop,No
T100229,C1571,2024-10-20,31630.7,Online,Healthcare,Jaipur,Tablet,No
T100230,C2141,2024-01-14,15998.82,ATM,Fuel,Mumbai,ATM Machine,No
T100231,C1633,2025-04-16,7589.29,POS,Entertainment,Mumbai,POS Terminal,No
T100232,C1294,2024-10-16,11749.63,ATM,Healthcare,Delhi,ATM Machine,No
T100233,C1063,2024-02-16,10104.1,ATM,Utilities,Hyderabad,ATM Machine,No
T100234,C1930,2024-06-23,9923.1,Online,Entertainment,Chennai,Tablet,No
T100235,C2163,2024-11-01,36178.12,Online,Grocery,Bangalore,Mobile,No
T100236,C1102,2024-12-11,14182.46,Online,Fuel,Ahmedabad,Tablet,No
T100237,C1906,2024-07-31,462.31,POS,Travel,Jaipur,POS Terminal,No
T100238,C1881,2024-02-26,9717.54,POS,E-commerce,Ahmedabad,POS Terminal,No
T100239,C1632,2024-01-24,9020.11,Online,Healthcare,Lucknow,Mobile,Yes
T100240,C1618,2025-04-29,47034.84,Online,Restaurant,Chennai,Desktop,No
T100241,C1016,2024-09-11,19101.61,ATM,Healthcare,Bangalore,ATM Machine,No
T100242,C2091,2024-12-26,45760.25,Online,Utilities,Jaipur,Tablet,No
T100243,C1148,2024-07-22,7718.09,ATM,Grocery,Kolkata,ATM Machine,Yes
T100244,C1160,2025-03-17,330.3,POS,E-commerce,Kolkata,POS Terminal,No
T100245,C1856,2024-05-28,46430.26,Online,Healthcare,Mumbai,Desktop,No
T100246,C1943,2025-03-01,8849.59,ATM,Entertainment,Delhi,ATM Machine,No
T100247,C1217,2024-05-04,14503.16,POS,E-commerce,Kolkata,POS Terminal,No
T100248,C1811,2025-03-21,14457.94,POS,Entertainment,Hyderabad,POS Terminal,No
T100249,C1345,2024-02-09,17133.68,ATM,Electronics,Jaipur,ATM Machine,No
T100250,C1716,2024-06-28,6241.75,ATM,Restaurant,Hyderabad,ATM Machine,No
T100251,C1525,2024-04-11,19377.87,Online,E-commerce,Bangalore,Tablet,No
T100252,C2012,2024-08-25,17097.17,ATM,E-commerce,Ahmedabad,ATM Machine,No
T100253,C2157,2024-11-25,6679.98,ATM,E-commerce,Pune,ATM Machine,No
T100254,C1648,2024-03-18,2625.44,POS,Electronics,Ahmedabad,POS Terminal,No
T100255,C1621,2025-02-11,8396.34,POS,E-commerce,Mumbai,POS Terminal,No
T100256,C1152,2024-06-07,14048.71,POS,Fashion,Mumbai,POS Terminal,No
T100257,C1588,2024-02-09,14072.58,ATM,Electronics,Lucknow,ATM Machine,No
T100258,C1788,2024-08-24,11616.19,ATM,Utilities,Mumbai,ATM Machine,No
T100259,C2171,2024-11-29,5039.39,Online,Entertainment,Lucknow,Desktop,No
T100260,C1127,2024-08-18,30827.36,Online,Entertainment,Delhi,Tablet,No
T100261,C1081,2024-05-06,19806.05,ATM,Fashion,Ahmedabad,ATM Machine,No
T100262,C1326,2024-07-05,2187.25,POS,Fuel,Kolkata,POS Terminal,No
T100263,C1693,2024-12-13,10607.43,ATM,Grocery,Pune,ATM Machine,No
T100264,C1194,2024-10-12,17608.77,ATM,Healthcare,Chennai,ATM Machine,No
T100265,C1308,2024-06-19,37090.28,Online,E-commerce,Bangalore,Desktop,No
T100266,C1803,2024-03-07,14091.81,ATM,Electronics,Chennai,ATM Machine,No
T100267,C1673,2025-02-20,35183.71,Online,Utilities,Delhi,Tablet,No
T100268,C2042,2024-07-04,18102.66,Online,Entertainment,Chennai,Mobile,No
T100269,C1700,2025-04-30,4474.52,POS,Travel,Hyderabad,POS Terminal,No
T100270,C1318,2024-02-09,12159.48,POS,Electronics,Jaipur,POS Terminal,No
T100271,C2079,2024-01-20,16297.21,ATM,Entertainment,Lucknow,ATM Machine,No
T100272,C1772,2024-03-19,43380.2,Online,Restaurant,Lucknow,Mobile,No
T100273,C1090,2024-07-29,13707.28,POS,Travel,Ahmedabad,POS Terminal,No
T100274,C1920,2024-04-29,10471.18,ATM,Travel,Chennai,ATM Machine,No
T100275,C1961,2025-04-07,25175.51,Online,Entertainment,Lucknow,Desktop,No
T100276,C1578,2025-02-02,11994.6,POS,Utilities,Jaipur,POS Terminal,No
T100277,C1332,2025-02-22,32568.2,Online,E-commerce,Bangalore,Desktop,No
T100278,C1985,2025-03-23,10559.31,POS,Utilities,Delhi,POS Terminal,No
T100279,C2057,2025-03-11,39830.47,Online,Fuel,Delhi,Mobile,No
T100280,C2052,2024-03-16,13361.08,POS,Electronics,Hyderabad,POS Terminal,No
T100281,C1716,2025-04-21,17032.16,Online,Healthcare,Mumbai,Desktop,No
T100282,C1483,2024-07-16,18904.03,Online,Entertainment,Hyderabad,Mobile,No
T100283,C1203,2025-03-05,2332.65,ATM,Entertainment,Bangalore,ATM Machine,No
T100284,C1588,2025-04-14,8716.37,POS,Restaurant,Ahmedabad,POS Terminal,No
T100285,C1011,2025-04-08,1989.93,Online,Grocery,Chennai,Mobile,No
T100286,C2124,2025-04-26,9579.16,ATM,E-commerce,Jaipur,ATM Machine,No
T100287,C1591,2024-05-01,8185.41,POS,Electronics,Mumbai,POS Terminal,No
T100288,C1937,2024-02-02,14469.75,Online,Fashion,Lucknow,Tablet,Yes
T100289,C2056,2024-10-21,29623.5,Online,Restaurant,Chennai,Desktop,Yes
T100290,C1723,2024-05-03,1094.75,ATM,Healthcare,Bangalore,ATM Machine,No
T100291,C1176,2024-09-25,656.49,POS,Electronics,Jaipur,POS Terminal,No
T100292,C2040,2024-10-10,41165.51,Online,Healthcare,Ahmedabad,Mobile,No
T100293,C1765,2024-05-09,7523.72,ATM,Grocery,Pune,ATM Machine,No
T100294,C1707,2024-05-03,2977.68,ATM,Electronics,Lucknow,ATM Machine,No
T100295,C1681,2024-03-09,26207.71,Online,Entertainment,Jaipur,Desktop,No
T100296,C1359,2025-03-01,15514.87,ATM,Fashion,Ahmedabad,ATM Machine,No
T100297,C1277,2024-02-02,4708.51,ATM,Fashion,Mumbai,ATM Machine,No
T100298,C1090,2025-02-09,31219.95,Online,Grocery,Pune,Desktop,No
T100299,C2113,2024-08-30,1371.68,POS,Grocery,Hyderabad,POS Terminal,No
T100300,C1098,2025-03-19,1507.79,ATM,Entertainment,Chennai,ATM Machine,No
T100301,C1754,2024-08-11,8017.18,POS,Fashion,Kolkata,POS Terminal,No
T100302,C1383,2024-09-11,11042.38,ATM,Fashion,Pune,ATM Machine,No
T100303,C2064,2024-05-16,31944.01,Online,Healthcare,Delhi,Desktop,No
T100304,C1370,2024-10-06,10918.76,POS,Entertainment,Delhi,POS Terminal,No
T100305,C1606,2024-06-05,14640.2,POS,E-commerce,Kolkata,POS Terminal,No
T100306,C1910,2024-06-28,7792.88,POS,Grocery,Pune,POS Terminal,No
T100307,C1891,2024-05-20,6797.65,ATM,Grocery,Delhi,ATM Machine,No
T100308,C1832,2024-07-05,16006.13,ATM,Restaurant,Mumbai,ATM Machine,No
T100309,C1898,2024-01-18,13687.45,Online,Electronics,Hyderabad,Tablet,No
T100310,C1785,2025-05-01,9059.94,ATM,Grocery,Lucknow,ATM Machine,No
T100311,C1922,2025-04-30,1269.0,POS,Entertainment,Ahmedabad,POS Terminal,No
T100312,C2176,2024-03-11,994.34,ATM,Entertainment,Kolkata,ATM Machine,No
T100313,C1571,2024-05-07,48139.89,Online,Grocery,Bangalore,Desktop,No
T100314,C2151,2024-03-01,12556.1,POS,Fuel,Ahmedabad,POS Terminal,No
T100315,C1585,2024-12-21,10470.02,POS,Travel,Delhi,POS Terminal,No
T100316,C1152,2024-08-19,20565.86,Online,Fashion,Delhi,Tablet,No
T100317,C1655,2024-12-07,2682.09,POS,Electronics,Jaipur,POS Terminal,No
T100318,C1615,2025-03-11,7990.56,Online,Restaurant,Pune,Tablet,No
T100319,C1412,2025-02-09,12662.1,Online,Travel,Ahmedabad,Mobile,No
T100320,C2173,2024-07-07,8283.48,POS,Utilities,Bangalore,POS Terminal,No
T100321,C1177,2024-02-03,10747.48,POS,Healthcare,Ahmedabad,POS Terminal,No
T100322,C1839,2025-02-25,13373.85,ATM,Electronics,Bangalore,ATM Machine,No
